Stacks were not flipped the same amount of time: 23 vs. 14
 Pancake #1 differs: < Radius: 1 > vs. < Radius: 1 , upside down >
 Pancake #2 differs: < Radius: 2 > vs. < Radius: 2 , upside down >
 Pancake #3 differs: < Radius: 3 > vs. < Radius: 3 , upside down >
 Pancake #4 differs: < Radius: 4 > vs. < Radius: 4 , upside down >
 Pancake #5 differs: < Radius: 5 > vs. < Radius: 5 , upside down >
 Pancake #6 differs: < Radius: 6 > vs. < Radius: 6 , upside down >
 Pancake #8 differs: < Radius: 8 > vs. < Radius: 8 , upside down >

Stacks were not flipped the same amount of time: 23 vs. 15
 Pancake #3 differs: < Radius: 3 > vs. < Radius: 3 , upside down >
 Pancake #5 differs: < Radius: 5 > vs. < Radius: 5 , upside down >
 Pancake #7 differs: < Radius: 7 > vs. < Radius: 7 , upside down >
 Pancake #8 differs: < Radius: 8 > vs. < Radius: 8 , upside down >
 Pancake #10 differs: < Radius: 10 > vs. < Radius: 10 , upside down >
 Pancake #11 differs: < Radius: 11 > vs. < Radius: 11 , upside down >

Stacks were not flipped the same amount of time: 67 vs. 54
 Pancake #8 differs: < Radius: 8 > vs. < Radius: 8 , upside down >
 Pancake #9 differs: < Radius: 9 > vs. < Radius: 9 , upside down >
 Pancake #10 differs: < Radius: 10 > vs. < Radius: 10 , upside down >
 Pancake #11 differs: < Radius: 11 > vs. < Radius: 11 , upside down >
 Pancake #15 differs: < Radius: 15 > vs. < Radius: 15 , upside down >
 Pancake #17 differs: < Radius: 17 > vs. < Radius: 17 , upside down >
 Pancake #22 differs: < Radius: 22 > vs. < Radius: 22 , upside down >
 Pancake #24 differs: < Radius: 24 > vs. < Radius: 24 , upside down >
 Pancake #25 differs: < Radius: 25 > vs. < Radius: 25 , upside down >
 Pancake #27 differs: < Radius: 27 > vs. < Radius: 27 , upside down >
 Pancake #28 differs: < Radius: 28 > vs. < Radius: 28 , upside down >

