The amount of steps is wrong: 6 is not 0
  In (3,49), the ground is expected to be black, but it is white.
  In (3,51), the ground is expected to be black, but it is white.
  In (3,52), the ground is expected to be black, but it is white.
  In (4,49), the ground is expected to be black, but it is white.
  In (4,50), the ground is expected to be black, but it is white.
  In (4,51), the ground is expected to be black, but it is white.
  In (5,31), the ground is expected to be black, but it is white.
  In (5,35), the ground is expected to be black, but it is white.
  In (5,36), the ground is expected to be black, but it is white.
  In (5,37), the ground is expected to be black, but it is white.
  In (5,38), the ground is expected to be black, but it is white.
  In (5,49), the ground is expected to be black, but it is white.
  In (5,50), the ground is expected to be black, but it is white.
  In (5,51), the ground is expected to be black, but it is white.
  In (6,31), the ground is expected to be black, but it is white.
  In (6,32), the ground is expected to be black, but it is white.
  In (6,33), the ground is expected to be black, but it is white.
  In (6,34), the ground is expected to be black, but it is white.
  In (6,36), the ground is expected to be black, but it is white.
  In (6,37), the ground is expected to be black, but it is white.
  In (6,48), the ground is expected to be black, but it is white.
  In (6,49), the ground is expected to be black, but it is white.
  In (6,52), the ground is expected to be black, but it is white.
  In (6,53), the ground is expected to be black, but it is white.
  In (7,32), the ground is expected to be black, but it is white.
  In (7,33), the ground is expected to be white, but it is black.
  In (7,39), the ground is expected to be black, but it is white.
  In (7,40), the ground is expected to be black, but it is white.
  In (7,41), the ground is expected to be black, but it is white.
  In (7,42), the ground is expected to be black, but it is white.
  In (7,45), the ground is expected to be black, but it is white.
  In (7,48), the ground is expected to be black, but it is white.
  In (7,49), the ground is expected to be black, but it is white.
  In (7,50), the ground is expected to be black, but it is white.
  In (7,51), the ground is expected to be black, but it is white.
  In (7,52), the ground is expected to be black, but it is white.
  In (7,53), the ground is expected to be black, but it is white.
  In (7,54), the ground is expected to be black, but it is white.
  In (8,31), the ground is expected to be black, but it is white.
  In (8,32), the ground is expected to be black, but it is white.
  In (8,34), the ground is expected to be white, but it is black.
  In (8,36), the ground is expected to be black, but it is white.
  In (8,37), the ground is expected to be black, but it is white.
  In (8,39), the ground is expected to be black, but it is white.
  In (8,41), the ground is expected to be black, but it is white.
  In (8,45), the ground is expected to be black, but it is white.
  In (8,46), the ground is expected to be black, but it is white.
  In (8,47), the ground is expected to be black, but it is white.
  In (8,48), the ground is expected to be black, but it is white.
  In (8,49), the ground is expected to be black, but it is white.
  In (8,50), the ground is expected to be black, but it is white.
  In (8,52), the ground is expected to be black, but it is white.
  In (8,54), the ground is expected to be black, but it is white.
  In (8,55), the ground is expected to be black, but it is white.
  In (9,31), the ground is expected to be black, but it is white.
  In (9,32), the ground is expected to be black, but it is white.
  In (9,34), the ground is expected to be black, but it is white.
  In (9,37), the ground is expected to be black, but it is white.
  In (9,39), the ground is expected to be black, but it is white.
  In (9,41), the ground is expected to be black, but it is white.
  In (9,44), the ground is expected to be black, but it is white.
  In (9,47), the ground is expected to be black, but it is white.
  In (9,49), the ground is expected to be black, but it is white.
  In (9,50), the ground is expected to be black, but it is white.
  In (9,54), the ground is expected to be black, but it is white.
  In (9,56), the ground is expected to be black, but it is white.
  In (9,57), the ground is expected to be black, but it is white.
  In (9,58), the ground is expected to be black, but it is white.
  In (10,31), the ground is expected to be black, but it is white.
  In (10,36), the ground is expected to be black, but it is white.
  In (10,41), the ground is expected to be black, but it is white.
  In (10,47), the ground is expected to be black, but it is white.
  In (10,48), the ground is expected to be black, but it is white.
  In (10,49), the ground is expected to be black, but it is white.
  In (10,56), the ground is expected to be black, but it is white.
  In (10,58), the ground is expected to be black, but it is white.
  In (11,31), the ground is expected to be black, but it is white.
  In (11,32), the ground is expected to be black, but it is white.
  In (11,33), the ground is expected to be black, but it is white.
  In (11,34), the ground is expected to be black, but it is white.
  In (11,35), the ground is expected to be black, but it is white.
  In (11,39), the ground is expected to be black, but it is white.
  In (11,41), the ground is expected to be black, but it is white.
  In (11,42), the ground is expected to be black, but it is white.
  In (11,43), the ground is expected to be black, but it is white.
  In (11,44), the ground is expected to be black, but it is white.
  In (11,48), the ground is expected to be black, but it is white.
  In (11,49), the ground is expected to be black, but it is white.
  In (11,50), the ground is expected to be black, but it is white.
  In (11,52), the ground is expected to be black, but it is white.
  In (11,54), the ground is expected to be black, but it is white.
  In (11,55), the ground is expected to be black, but it is white.
  In (11,57), the ground is expected to be black, but it is white.
