The amount of steps is wrong: 12001 is not 0
  In (0,29), the ground is expected to be white, but it is black.
  In (0,30), the ground is expected to be white, but it is black.
  In (0,33), the ground is expected to be white, but it is black.
  In (0,37), the ground is expected to be white, but it is black.
  In (0,38), the ground is expected to be white, but it is black.
  In (0,39), the ground is expected to be white, but it is black.
  In (1,30), the ground is expected to be white, but it is black.
  In (1,32), the ground is expected to be white, but it is black.
  In (1,33), the ground is expected to be white, but it is black.
  In (1,35), the ground is expected to be white, but it is black.
  In (1,36), the ground is expected to be white, but it is black.
  In (1,40), the ground is expected to be white, but it is black.
  In (2,31), the ground is expected to be white, but it is black.
  In (2,32), the ground is expected to be white, but it is black.
  In (2,35), the ground is expected to be white, but it is black.
  In (2,39), the ground is expected to be white, but it is black.
  In (2,40), the ground is expected to be white, but it is black.
  In (2,41), the ground is expected to be white, but it is black.
  In (3,32), the ground is expected to be white, but it is black.
  In (3,34), the ground is expected to be white, but it is black.
  In (3,35), the ground is expected to be white, but it is black.
  In (3,37), the ground is expected to be white, but it is black.
  In (3,38), the ground is expected to be white, but it is black.
  In (3,42), the ground is expected to be white, but it is black.
  In (4,33), the ground is expected to be white, but it is black.
  In (4,34), the ground is expected to be white, but it is black.
  In (4,37), the ground is expected to be white, but it is black.
  In (4,41), the ground is expected to be white, but it is black.
  In (4,42), the ground is expected to be white, but it is black.
  In (4,43), the ground is expected to be white, but it is black.
  In (5,34), the ground is expected to be white, but it is black.
  In (5,36), the ground is expected to be white, but it is black.
  In (5,37), the ground is expected to be white, but it is black.
  In (5,39), the ground is expected to be white, but it is black.
  In (5,40), the ground is expected to be white, but it is black.
  In (5,44), the ground is expected to be white, but it is black.
  In (6,35), the ground is expected to be white, but it is black.
  In (6,36), the ground is expected to be white, but it is black.
  In (6,39), the ground is expected to be white, but it is black.
  In (6,43), the ground is expected to be white, but it is black.
  In (6,44), the ground is expected to be white, but it is black.
  In (6,45), the ground is expected to be white, but it is black.
  In (7,36), the ground is expected to be white, but it is black.
  In (7,38), the ground is expected to be white, but it is black.
  In (7,39), the ground is expected to be white, but it is black.
  In (7,41), the ground is expected to be white, but it is black.
  In (7,42), the ground is expected to be white, but it is black.
  In (7,46), the ground is expected to be white, but it is black.
  In (8,37), the ground is expected to be white, but it is black.
  In (8,38), the ground is expected to be white, but it is black.
  In (8,41), the ground is expected to be white, but it is black.
  In (8,45), the ground is expected to be white, but it is black.
  In (8,46), the ground is expected to be white, but it is black.
  In (8,47), the ground is expected to be white, but it is black.
  In (9,38), the ground is expected to be white, but it is black.
  In (9,40), the ground is expected to be white, but it is black.
  In (9,41), the ground is expected to be white, but it is black.
  In (9,43), the ground is expected to be white, but it is black.
  In (9,44), the ground is expected to be white, but it is black.
  In (9,48), the ground is expected to be white, but it is black.
  In (9,52), the ground is expected to be black, but it is white.
  In (9,53), the ground is expected to be black, but it is white.
  In (10,39), the ground is expected to be white, but it is black.
  In (10,40), the ground is expected to be white, but it is black.
  In (10,43), the ground is expected to be white, but it is black.
  In (10,47), the ground is expected to be white, but it is black.
  In (10,48), the ground is expected to be white, but it is black.
  In (10,49), the ground is expected to be white, but it is black.
  In (10,51), the ground is expected to be black, but it is white.
  In (10,52), the ground is expected to be black, but it is white.
  In (10,53), the ground is expected to be black, but it is white.
  In (10,54), the ground is expected to be black, but it is white.
  In (10,55), the ground is expected to be black, but it is white.
  In (10,56), the ground is expected to be black, but it is white.
  In (11,40), the ground is expected to be white, but it is black.
  In (11,42), the ground is expected to be white, but it is black.
  In (11,43), the ground is expected to be white, but it is black.
  In (11,45), the ground is expected to be white, but it is black.
  In (11,46), the ground is expected to be white, but it is black.
  In (11,52), the ground is expected to be black, but it is white.
  In (11,53), the ground is expected to be black, but it is white.
  In (11,56), the ground is expected to be black, but it is white.
  In (12,41), the ground is expected to be white, but it is black.
  In (12,42), the ground is expected to be white, but it is black.
  In (12,45), the ground is expected to be white, but it is black.
  In (12,51), the ground is expected to be white, but it is black.
  In (12,52), the ground is expected to be black, but it is white.
  In (12,54), the ground is expected to be black, but it is white.
  In (12,55), the ground is expected to be black, but it is white.
