The amount of steps is wrong: 83420 is not 0
  In (0,3), the ground is expected to be white, but it is red.
  In (0,4), the ground is expected to be white, but it is red.
  In (0,5), the ground is expected to be white, but it is yellow.
  In (0,6), the ground is expected to be white, but it is yellow.
  In (0,7), the ground is expected to be white, but it is red.
  In (0,8), the ground is expected to be white, but it is red.
  In (0,12), the ground is expected to be white, but it is red.
  In (0,13), the ground is expected to be white, but it is red.
  In (0,15), the ground is expected to be white, but it is yellow.
  In (0,16), the ground is expected to be white, but it is yellow.
  In (0,17), the ground is expected to be white, but it is yellow.
  In (0,18), the ground is expected to be white, but it is yellow.
  In (0,20), the ground is expected to be white, but it is red.
  In (0,21), the ground is expected to be white, but it is yellow.
  In (0,22), the ground is expected to be white, but it is yellow.
  In (0,23), the ground is expected to be white, but it is red.
  In (0,25), the ground is expected to be white, but it is yellow.
  In (0,26), the ground is expected to be white, but it is red.
  In (0,27), the ground is expected to be white, but it is yellow.
  In (0,28), the ground is expected to be white, but it is red.
  In (0,31), the ground is expected to be white, but it is red.
  In (0,36), the ground is expected to be white, but it is red.
  In (0,40), the ground is expected to be white, but it is red.
  In (0,44), the ground is expected to be white, but it is red.
  In (0,46), the ground is expected to be white, but it is red.
  In (0,50), the ground is expected to be white, but it is yellow.
  In (0,52), the ground is expected to be white, but it is red.
  In (0,56), the ground is expected to be white, but it is yellow.
  In (0,58), the ground is expected to be white, but it is red.
  In (0,63), the ground is expected to be white, but it is red.
  In (0,70), the ground is expected to be white, but it is red.
  In (0,74), the ground is expected to be white, but it is yellow.
  In (0,75), the ground is expected to be white, but it is yellow.
  In (0,76), the ground is expected to be white, but it is red.
  In (0,78), the ground is expected to be white, but it is yellow.
  In (0,79), the ground is expected to be white, but it is red.
  In (0,81), the ground is expected to be white, but it is red.
  In (0,82), the ground is expected to be white, but it is yellow.
  In (0,83), the ground is expected to be white, but it is yellow.
  In (0,84), the ground is expected to be white, but it is red.
  In (0,85), the ground is expected to be white, but it is yellow.
  In (0,86), the ground is expected to be white, but it is red.
  In (0,87), the ground is expected to be white, but it is red.
  In (0,88), the ground is expected to be white, but it is red.
  In (0,89), the ground is expected to be white, but it is yellow.
  In (0,90), the ground is expected to be white, but it is red.
  In (0,91), the ground is expected to be white, but it is yellow.
  In (0,92), the ground is expected to be white, but it is yellow.
  In (0,97), the ground is expected to be white, but it is yellow.
  In (0,98), the ground is expected to be white, but it is red.
  In (1,1), the ground is expected to be white, but it is red.
  In (1,2), the ground is expected to be white, but it is red.
  In (1,3), the ground is expected to be white, but it is red.
  In (1,4), the ground is expected to be white, but it is yellow.
  In (1,6), the ground is expected to be white, but it is red.
  In (1,7), the ground is expected to be white, but it is yellow.
  In (1,8), the ground is expected to be white, but it is yellow.
  In (1,9), the ground is expected to be white, but it is yellow.
  In (1,10), the ground is expected to be white, but it is red.
  In (1,11), the ground is expected to be white, but it is red.
  In (1,12), the ground is expected to be white, but it is red.
  In (1,14), the ground is expected to be white, but it is red.
  In (1,15), the ground is expected to be white, but it is yellow.
  In (1,17), the ground is expected to be white, but it is red.
  In (1,19), the ground is expected to be white, but it is yellow.
  In (1,21), the ground is expected to be white, but it is yellow.
  In (1,22), the ground is expected to be white, but it is red.
  In (1,23), the ground is expected to be white, but it is yellow.
  In (1,25), the ground is expected to be white, but it is yellow.
  In (1,27), the ground is expected to be white, but it is yellow.
  In (1,30), the ground is expected to be white, but it is yellow.
