The amount of steps is wrong: 42000 is not 0
  In (0,63), the ground is expected to be white, but it is yellow.
  In (0,64), the ground is expected to be white, but it is yellow.
  In (0,69), the ground is expected to be white, but it is yellow.
  In (0,70), the ground is expected to be white, but it is yellow.
  In (0,71), the ground is expected to be white, but it is yellow.
  In (0,75), the ground is expected to be white, but it is yellow.
  In (0,77), the ground is expected to be white, but it is yellow.
  In (0,78), the ground is expected to be white, but it is yellow.
  In (0,81), the ground is expected to be white, but it is yellow.
  In (0,82), the ground is expected to be white, but it is yellow.
  In (0,83), the ground is expected to be white, but it is yellow.
  In (0,86), the ground is expected to be white, but it is yellow.
  In (0,89), the ground is expected to be white, but it is yellow.
  In (0,93), the ground is expected to be white, but it is yellow.
  In (0,94), the ground is expected to be white, but it is yellow.
  In (0,95), the ground is expected to be white, but it is yellow.
  In (0,96), the ground is expected to be white, but it is yellow.
  In (0,98), the ground is expected to be white, but it is yellow.
  In (1,63), the ground is expected to be white, but it is yellow.
  In (1,65), the ground is expected to be white, but it is yellow.
  In (1,66), the ground is expected to be white, but it is yellow.
  In (1,67), the ground is expected to be white, but it is yellow.
  In (1,69), the ground is expected to be white, but it is yellow.
  In (1,70), the ground is expected to be white, but it is yellow.
  In (1,74), the ground is expected to be white, but it is yellow.
  In (1,77), the ground is expected to be white, but it is yellow.
  In (1,78), the ground is expected to be white, but it is yellow.
  In (1,80), the ground is expected to be white, but it is yellow.
  In (1,81), the ground is expected to be white, but it is yellow.
  In (1,83), the ground is expected to be white, but it is yellow.
  In (1,86), the ground is expected to be white, but it is yellow.
  In (1,87), the ground is expected to be white, but it is yellow.
  In (1,88), the ground is expected to be white, but it is yellow.
  In (1,89), the ground is expected to be white, but it is yellow.
  In (1,90), the ground is expected to be white, but it is yellow.
  In (1,91), the ground is expected to be white, but it is yellow.
  In (2,62), the ground is expected to be white, but it is yellow.
  In (2,65), the ground is expected to be white, but it is yellow.
  In (2,66), the ground is expected to be white, but it is yellow.
  In (2,73), the ground is expected to be white, but it is yellow.
  In (2,77), the ground is expected to be white, but it is yellow.
  In (2,79), the ground is expected to be white, but it is yellow.
  In (2,80), the ground is expected to be white, but it is yellow.
  In (2,82), the ground is expected to be white, but it is yellow.
  In (2,83), the ground is expected to be white, but it is yellow.
  In (2,84), the ground is expected to be white, but it is yellow.
  In (2,85), the ground is expected to be white, but it is yellow.
  In (2,86), the ground is expected to be white, but it is yellow.
  In (2,87), the ground is expected to be white, but it is yellow.
  In (2,88), the ground is expected to be white, but it is yellow.
  In (2,94), the ground is expected to be white, but it is yellow.
  In (2,96), the ground is expected to be white, but it is yellow.
  In (3,49), the ground is expected to be yellow, but it is white.
  In (3,51), the ground is expected to be yellow, but it is white.
  In (3,52), the ground is expected to be yellow, but it is white.
  In (3,62), the ground is expected to be white, but it is yellow.
  In (3,64), the ground is expected to be white, but it is yellow.
  In (3,65), the ground is expected to be white, but it is yellow.
  In (3,66), the ground is expected to be white, but it is yellow.
  In (3,68), the ground is expected to be white, but it is yellow.
  In (3,69), the ground is expected to be white, but it is yellow.
  In (3,70), the ground is expected to be white, but it is yellow.
  In (3,72), the ground is expected to be white, but it is yellow.
  In (3,74), the ground is expected to be white, but it is yellow.
  In (3,75), the ground is expected to be white, but it is yellow.
  In (3,77), the ground is expected to be white, but it is yellow.
  In (3,81), the ground is expected to be white, but it is yellow.
  In (3,84), the ground is expected to be white, but it is yellow.
  In (3,86), the ground is expected to be white, but it is yellow.
  In (3,88), the ground is expected to be white, but it is yellow.
  In (3,92), the ground is expected to be white, but it is yellow.
  In (3,93), the ground is expected to be white, but it is yellow.
  In (3,94), the ground is expected to be white, but it is yellow.
  In (4,49), the ground is expected to be yellow, but it is white.
  In (4,50), the ground is expected to be yellow, but it is white.
  In (4,51), the ground is expected to be yellow, but it is white.
  In (4,56), the ground is expected to be white, but it is yellow.
  In (4,57), the ground is expected to be white, but it is yellow.
  In (4,63), the ground is expected to be white, but it is yellow.
  In (4,67), the ground is expected to be white, but it is yellow.
  In (4,72), the ground is expected to be white, but it is yellow.
  In (4,73), the ground is expected to be white, but it is yellow.
  In (4,77), the ground is expected to be white, but it is yellow.
  In (4,80), the ground is expected to be white, but it is yellow.
  In (4,83), the ground is expected to be white, but it is yellow.
  In (4,84), the ground is expected to be white, but it is yellow.
  In (4,86), the ground is expected to be white, but it is yellow.
  In (4,87), the ground is expected to be white, but it is yellow.
  In (4,88), the ground is expected to be white, but it is yellow.
  In (4,95), the ground is expected to be white, but it is yellow.
  In (5,31), the ground is expected to be yellow, but it is white.
  In (5,35), the ground is expected to be yellow, but it is white.
  In (5,36), the ground is expected to be yellow, but it is white.
  In (5,37), the ground is expected to be yellow, but it is white.
  In (5,38), the ground is expected to be yellow, but it is white.
  In (5,49), the ground is expected to be yellow, but it is white.
  In (5,50), the ground is expected to be yellow, but it is white.
  In (5,51), the ground is expected to be yellow, but it is white.
  In (5,55), the ground is expected to be white, but it is yellow.
  In (5,57), the ground is expected to be white, but it is yellow.
  In (5,58), the ground is expected to be white, but it is yellow.
  In (5,60), the ground is expected to be white, but it is yellow.
  In (5,61), the ground is expected to be white, but it is yellow.
  In (5,62), the ground is expected to be white, but it is yellow.
  In (5,63), the ground is expected to be white, but it is yellow.
  In (5,67), the ground is expected to be white, but it is yellow.
  In (5,72), the ground is expected to be white, but it is yellow.
  In (5,74), the ground is expected to be white, but it is yellow.
  In (5,75), the ground is expected to be white, but it is yellow.
  In (5,77), the ground is expected to be white, but it is yellow.
  In (5,79), the ground is expected to be white, but it is yellow.
  In (5,81), the ground is expected to be white, but it is yellow.
  In (5,82), the ground is expected to be white, but it is yellow.
  In (5,91), the ground is expected to be white, but it is yellow.
  In (5,92), the ground is expected to be white, but it is yellow.
  In (5,93), the ground is expected to be white, but it is yellow.
  In (5,94), the ground is expected to be white, but it is yellow.
  In (5,96), the ground is expected to be white, but it is yellow.
  In (6,31), the ground is expected to be yellow, but it is white.
  In (6,32), the ground is expected to be yellow, but it is white.
  In (6,33), the ground is expected to be yellow, but it is white.
  In (6,34), the ground is expected to be yellow, but it is white.
  In (6,36), the ground is expected to be yellow, but it is white.
  In (6,37), the ground is expected to be yellow, but it is white.
  In (6,48), the ground is expected to be yellow, but it is white.
  In (6,49), the ground is expected to be yellow, but it is white.
  In (6,52), the ground is expected to be yellow, but it is white.
  In (6,53), the ground is expected to be yellow, but it is white.
  In (6,54), the ground is expected to be white, but it is yellow.
  In (6,56), the ground is expected to be white, but it is yellow.
  In (6,61), the ground is expected to be white, but it is yellow.
  In (6,62), the ground is expected to be white, but it is yellow.
  In (6,63), the ground is expected to be white, but it is yellow.
  In (6,66), the ground is expected to be white, but it is yellow.
  In (6,68), the ground is expected to be white, but it is yellow.
  In (6,70), the ground is expected to be white, but it is yellow.
  In (6,73), the ground is expected to be white, but it is yellow.
  In (6,75), the ground is expected to be white, but it is yellow.
  In (6,78), the ground is expected to be white, but it is yellow.
  In (6,80), the ground is expected to be white, but it is yellow.
  In (6,84), the ground is expected to be white, but it is yellow.
  In (6,89), the ground is expected to be white, but it is yellow.
  In (6,90), the ground is expected to be white, but it is yellow.
  In (6,92), the ground is expected to be white, but it is yellow.
  In (6,94), the ground is expected to be white, but it is yellow.
  In (6,97), the ground is expected to be white, but it is yellow.
  In (7,32), the ground is expected to be yellow, but it is white.
  In (7,34), the ground is expected to be yellow, but it is white.
  In (7,39), the ground is expected to be yellow, but it is white.
  In (7,40), the ground is expected to be yellow, but it is white.
  In (7,41), the ground is expected to be yellow, but it is white.
  In (7,42), the ground is expected to be yellow, but it is white.
  In (7,45), the ground is expected to be yellow, but it is white.
  In (7,48), the ground is expected to be yellow, but it is white.
  In (7,49), the ground is expected to be yellow, but it is white.
  In (7,50), the ground is expected to be yellow, but it is white.
  In (7,51), the ground is expected to be yellow, but it is white.
  In (7,52), the ground is expected to be yellow, but it is white.
  In (7,53), the ground is expected to be yellow, but it is white.
  In (7,56), the ground is expected to be white, but it is yellow.
  In (7,60), the ground is expected to be white, but it is yellow.
  In (7,63), the ground is expected to be white, but it is yellow.
  In (7,64), the ground is expected to be white, but it is yellow.
  In (7,65), the ground is expected to be white, but it is yellow.
  In (7,67), the ground is expected to be white, but it is yellow.
  In (7,68), the ground is expected to be white, but it is yellow.
  In (7,70), the ground is expected to be white, but it is yellow.
  In (7,73), the ground is expected to be white, but it is yellow.
  In (7,74), the ground is expected to be white, but it is yellow.
  In (7,75), the ground is expected to be white, but it is yellow.
  In (7,76), the ground is expected to be white, but it is yellow.
  In (7,77), the ground is expected to be white, but it is yellow.
  In (7,80), the ground is expected to be white, but it is yellow.
  In (7,83), the ground is expected to be white, but it is yellow.
  In (7,85), the ground is expected to be white, but it is yellow.
  In (7,87), the ground is expected to be white, but it is yellow.
  In (7,89), the ground is expected to be white, but it is yellow.
  In (7,91), the ground is expected to be white, but it is yellow.
  In (7,97), the ground is expected to be white, but it is yellow.
  In (7,98), the ground is expected to be white, but it is yellow.
  In (8,31), the ground is expected to be yellow, but it is white.
  In (8,32), the ground is expected to be yellow, but it is white.
  In (8,33), the ground is expected to be yellow, but it is white.
  In (8,36), the ground is expected to be yellow, but it is white.
  In (8,37), the ground is expected to be yellow, but it is white.
  In (8,39), the ground is expected to be yellow, but it is white.
  In (8,41), the ground is expected to be yellow, but it is white.
  In (8,45), the ground is expected to be yellow, but it is white.
  In (8,46), the ground is expected to be yellow, but it is white.
  In (8,47), the ground is expected to be yellow, but it is white.
  In (8,48), the ground is expected to be yellow, but it is white.
  In (8,49), the ground is expected to be yellow, but it is white.
  In (8,50), the ground is expected to be yellow, but it is white.
  In (8,52), the ground is expected to be yellow, but it is white.
  In (8,54), the ground is expected to be yellow, but it is white.
  In (8,56), the ground is expected to be white, but it is yellow.
  In (8,58), the ground is expected to be white, but it is yellow.
  In (8,59), the ground is expected to be white, but it is yellow.
  In (8,62), the ground is expected to be white, but it is yellow.
  In (8,64), the ground is expected to be white, but it is yellow.
  In (8,67), the ground is expected to be white, but it is yellow.
  In (8,68), the ground is expected to be white, but it is yellow.
  In (8,71), the ground is expected to be white, but it is yellow.
  In (8,73), the ground is expected to be white, but it is yellow.
  In (8,79), the ground is expected to be white, but it is yellow.
  In (8,80), the ground is expected to be white, but it is yellow.
  In (8,81), the ground is expected to be white, but it is yellow.
  In (8,82), the ground is expected to be white, but it is yellow.
  In (8,84), the ground is expected to be white, but it is yellow.
  In (8,85), the ground is expected to be white, but it is yellow.
  In (8,86), the ground is expected to be white, but it is yellow.
  In (8,88), the ground is expected to be white, but it is yellow.
  In (8,91), the ground is expected to be white, but it is yellow.
  In (8,95), the ground is expected to be white, but it is yellow.
  In (8,97), the ground is expected to be white, but it is yellow.
  In (8,99), the ground is expected to be white, but it is yellow.
  In (9,0), the ground is expected to be white, but it is yellow.
  In (9,31), the ground is expected to be yellow, but it is white.
  In (9,32), the ground is expected to be yellow, but it is white.
  In (9,34), the ground is expected to be yellow, but it is white.
  In (9,37), the ground is expected to be yellow, but it is white.
  In (9,39), the ground is expected to be yellow, but it is white.
  In (9,41), the ground is expected to be yellow, but it is white.
  In (9,44), the ground is expected to be yellow, but it is white.
  In (9,47), the ground is expected to be yellow, but it is white.
  In (9,49), the ground is expected to be yellow, but it is white.
  In (9,50), the ground is expected to be yellow, but it is white.
  In (9,54), the ground is expected to be yellow, but it is white.
  In (9,57), the ground is expected to be yellow, but it is white.
  In (9,59), the ground is expected to be white, but it is yellow.
  In (9,60), the ground is expected to be white, but it is yellow.
  In (9,62), the ground is expected to be white, but it is yellow.
  In (9,63), the ground is expected to be white, but it is yellow.
  In (9,66), the ground is expected to be white, but it is yellow.
  In (9,67), the ground is expected to be white, but it is yellow.
