The amount of steps is wrong: 8342 is not 0
  In (0,55), the ground is expected to be white, but it is yellow.
  In (0,56), the ground is expected to be white, but it is yellow.
  In (0,57), the ground is expected to be white, but it is yellow.
  In (0,59), the ground is expected to be white, but it is yellow.
  In (0,61), the ground is expected to be white, but it is yellow.
  In (0,62), the ground is expected to be white, but it is yellow.
  In (0,74), the ground is expected to be white, but it is yellow.
  In (0,75), the ground is expected to be white, but it is yellow.
  In (0,77), the ground is expected to be white, but it is yellow.
  In (0,79), the ground is expected to be white, but it is yellow.
  In (0,80), the ground is expected to be white, but it is yellow.
  In (0,81), the ground is expected to be white, but it is yellow.
  In (1,53), the ground is expected to be white, but it is yellow.
  In (1,54), the ground is expected to be white, but it is yellow.
  In (1,55), the ground is expected to be white, but it is yellow.
  In (1,57), the ground is expected to be white, but it is yellow.
  In (1,58), the ground is expected to be white, but it is yellow.
  In (1,60), the ground is expected to be white, but it is yellow.
  In (1,61), the ground is expected to be white, but it is yellow.
  In (1,74), the ground is expected to be white, but it is yellow.
  In (1,81), the ground is expected to be white, but it is yellow.
  In (2,50), the ground is expected to be white, but it is yellow.
  In (2,51), the ground is expected to be white, but it is yellow.
  In (2,52), the ground is expected to be white, but it is yellow.
  In (2,53), the ground is expected to be white, but it is yellow.
  In (2,54), the ground is expected to be white, but it is yellow.
  In (2,55), the ground is expected to be white, but it is yellow.
  In (2,56), the ground is expected to be white, but it is yellow.
  In (2,57), the ground is expected to be white, but it is yellow.
  In (2,58), the ground is expected to be white, but it is yellow.
  In (2,59), the ground is expected to be white, but it is yellow.
  In (2,60), the ground is expected to be white, but it is yellow.
  In (2,61), the ground is expected to be white, but it is yellow.
  In (2,62), the ground is expected to be white, but it is yellow.
  In (2,76), the ground is expected to be white, but it is yellow.
  In (2,78), the ground is expected to be white, but it is yellow.
  In (2,81), the ground is expected to be white, but it is yellow.
  In (2,82), the ground is expected to be white, but it is yellow.
  In (3,49), the ground is expected to be yellow, but it is white.
  In (3,54), the ground is expected to be white, but it is yellow.
  In (3,55), the ground is expected to be white, but it is yellow.
  In (3,56), the ground is expected to be white, but it is yellow.
  In (3,58), the ground is expected to be white, but it is yellow.
  In (3,59), the ground is expected to be white, but it is yellow.
  In (3,76), the ground is expected to be white, but it is yellow.
  In (3,78), the ground is expected to be white, but it is yellow.
  In (3,81), the ground is expected to be white, but it is yellow.
  In (3,82), the ground is expected to be white, but it is yellow.
  In (4,32), the ground is expected to be white, but it is yellow.
  In (4,33), the ground is expected to be white, but it is yellow.
  In (4,35), the ground is expected to be white, but it is yellow.
  In (4,49), the ground is expected to be yellow, but it is white.
  In (4,52), the ground is expected to be white, but it is yellow.
  In (4,54), the ground is expected to be white, but it is yellow.
  In (4,59), the ground is expected to be white, but it is yellow.
  In (4,60), the ground is expected to be white, but it is yellow.
  In (4,76), the ground is expected to be white, but it is yellow.
  In (4,77), the ground is expected to be white, but it is yellow.
  In (4,82), the ground is expected to be white, but it is yellow.
  In (4,83), the ground is expected to be white, but it is yellow.
  In (5,31), the ground is expected to be yellow, but it is white.
  In (5,33), the ground is expected to be white, but it is yellow.
  In (5,34), the ground is expected to be white, but it is yellow.
  In (5,36), the ground is expected to be yellow, but it is white.
  In (5,37), the ground is expected to be yellow, but it is white.
  In (5,38), the ground is expected to be yellow, but it is white.
  In (5,49), the ground is expected to be yellow, but it is white.
  In (5,51), the ground is expected to be yellow, but it is white.
  In (5,53), the ground is expected to be white, but it is yellow.
  In (5,54), the ground is expected to be white, but it is yellow.
  In (5,55), the ground is expected to be white, but it is yellow.
  In (5,58), the ground is expected to be white, but it is yellow.
  In (5,59), the ground is expected to be white, but it is yellow.
  In (5,76), the ground is expected to be white, but it is yellow.
  In (5,78), the ground is expected to be white, but it is yellow.
  In (5,80), the ground is expected to be white, but it is yellow.
  In (5,81), the ground is expected to be white, but it is yellow.
  In (5,83), the ground is expected to be white, but it is yellow.
  In (6,31), the ground is expected to be yellow, but it is white.
  In (6,32), the ground is expected to be yellow, but it is white.
  In (6,35), the ground is expected to be white, but it is yellow.
  In (6,36), the ground is expected to be yellow, but it is white.
  In (6,37), the ground is expected to be yellow, but it is white.
  In (6,48), the ground is expected to be yellow, but it is white.
  In (6,49), the ground is expected to be yellow, but it is white.
  In (6,52), the ground is expected to be yellow, but it is white.
  In (6,54), the ground is expected to be white, but it is yellow.
  In (6,59), the ground is expected to be white, but it is yellow.
  In (6,76), the ground is expected to be white, but it is yellow.
  In (6,77), the ground is expected to be white, but it is yellow.
  In (6,79), the ground is expected to be white, but it is yellow.
