The amount of steps is wrong: 8342 is not 0
  In (0,29), the ground is expected to be white, but it is yellow.
  In (0,32), the ground is expected to be white, but it is yellow.
  In (0,33), the ground is expected to be white, but it is yellow.
  In (0,38), the ground is expected to be white, but it is yellow.
  In (0,40), the ground is expected to be white, but it is yellow.
  In (0,41), the ground is expected to be white, but it is yellow.
  In (0,42), the ground is expected to be white, but it is yellow.
  In (0,43), the ground is expected to be white, but it is yellow.
  In (0,45), the ground is expected to be white, but it is yellow.
  In (0,46), the ground is expected to be white, but it is yellow.
  In (0,47), the ground is expected to be white, but it is yellow.
  In (0,50), the ground is expected to be white, but it is yellow.
  In (0,55), the ground is expected to be white, but it is yellow.
  In (0,57), the ground is expected to be white, but it is yellow.
  In (0,59), the ground is expected to be white, but it is yellow.
  In (0,60), the ground is expected to be white, but it is yellow.
  In (0,62), the ground is expected to be white, but it is yellow.
  In (1,32), the ground is expected to be white, but it is yellow.
  In (1,33), the ground is expected to be white, but it is yellow.
  In (1,41), the ground is expected to be white, but it is yellow.
  In (1,43), the ground is expected to be white, but it is yellow.
  In (1,44), the ground is expected to be white, but it is yellow.
  In (1,45), the ground is expected to be white, but it is yellow.
  In (1,47), the ground is expected to be white, but it is yellow.
  In (1,49), the ground is expected to be white, but it is yellow.
  In (1,50), the ground is expected to be white, but it is yellow.
  In (1,51), the ground is expected to be white, but it is yellow.
  In (1,55), the ground is expected to be white, but it is yellow.
  In (1,56), the ground is expected to be white, but it is yellow.
  In (1,58), the ground is expected to be white, but it is yellow.
  In (1,59), the ground is expected to be white, but it is yellow.
  In (1,61), the ground is expected to be white, but it is yellow.
  In (1,62), the ground is expected to be white, but it is yellow.
  In (2,33), the ground is expected to be white, but it is yellow.
  In (2,34), the ground is expected to be white, but it is yellow.
  In (2,37), the ground is expected to be white, but it is yellow.
  In (2,39), the ground is expected to be white, but it is yellow.
  In (2,41), the ground is expected to be white, but it is yellow.
  In (2,42), the ground is expected to be white, but it is yellow.
  In (2,44), the ground is expected to be white, but it is yellow.
  In (2,45), the ground is expected to be white, but it is yellow.
  In (2,47), the ground is expected to be white, but it is yellow.
  In (2,48), the ground is expected to be white, but it is yellow.
  In (2,49), the ground is expected to be white, but it is yellow.
  In (2,54), the ground is expected to be white, but it is yellow.
  In (2,55), the ground is expected to be white, but it is yellow.
  In (2,58), the ground is expected to be white, but it is yellow.
  In (2,60), the ground is expected to be white, but it is yellow.
  In (2,61), the ground is expected to be white, but it is yellow.
  In (3,34), the ground is expected to be white, but it is yellow.
  In (3,35), the ground is expected to be white, but it is yellow.
  In (3,37), the ground is expected to be white, but it is yellow.
  In (3,41), the ground is expected to be white, but it is yellow.
  In (3,42), the ground is expected to be white, but it is yellow.
  In (3,43), the ground is expected to be white, but it is yellow.
  In (3,44), the ground is expected to be white, but it is yellow.
  In (3,45), the ground is expected to be white, but it is yellow.
  In (3,46), the ground is expected to be white, but it is yellow.
  In (3,47), the ground is expected to be white, but it is yellow.
  In (3,48), the ground is expected to be white, but it is yellow.
  In (3,52), the ground is expected to be yellow, but it is white.
  In (3,55), the ground is expected to be white, but it is yellow.
  In (3,57), the ground is expected to be white, but it is yellow.
  In (3,59), the ground is expected to be white, but it is yellow.
  In (3,60), the ground is expected to be white, but it is yellow.
  In (4,34), the ground is expected to be white, but it is yellow.
  In (4,35), the ground is expected to be white, but it is yellow.
  In (4,37), the ground is expected to be white, but it is yellow.
  In (4,38), the ground is expected to be white, but it is yellow.
  In (4,39), the ground is expected to be white, but it is yellow.
  In (4,41), the ground is expected to be white, but it is yellow.
  In (4,44), the ground is expected to be white, but it is yellow.
  In (4,45), the ground is expected to be white, but it is yellow.
  In (4,46), the ground is expected to be white, but it is yellow.
  In (4,47), the ground is expected to be white, but it is yellow.
  In (4,52), the ground is expected to be white, but it is yellow.
  In (4,53), the ground is expected to be white, but it is yellow.
  In (4,54), the ground is expected to be white, but it is yellow.
  In (4,55), the ground is expected to be white, but it is yellow.
  In (4,57), the ground is expected to be white, but it is yellow.
  In (4,58), the ground is expected to be white, but it is yellow.
  In (4,59), the ground is expected to be white, but it is yellow.
  In (5,32), the ground is expected to be white, but it is yellow.
  In (5,33), the ground is expected to be white, but it is yellow.
  In (5,34), the ground is expected to be white, but it is yellow.
  In (5,36), the ground is expected to be yellow, but it is white.
  In (5,37), the ground is expected to be yellow, but it is white.
  In (5,38), the ground is expected to be yellow, but it is white.
  In (5,39), the ground is expected to be white, but it is yellow.
  In (5,41), the ground is expected to be white, but it is yellow.
  In (5,42), the ground is expected to be white, but it is yellow.
  In (5,43), the ground is expected to be white, but it is yellow.
  In (5,44), the ground is expected to be white, but it is yellow.
  In (5,48), the ground is expected to be white, but it is yellow.
  In (5,51), the ground is expected to be yellow, but it is white.
  In (5,52), the ground is expected to be white, but it is yellow.
  In (5,54), the ground is expected to be white, but it is yellow.
  In (5,55), the ground is expected to be white, but it is yellow.
  In (5,57), the ground is expected to be white, but it is yellow.
