The amount of steps is wrong: 15000 is not 0
  In (0,4), the ground is expected to be white, but it is yellow.
  In (0,5), the ground is expected to be white, but it is red.
  In (0,6), the ground is expected to be white, but it is red.
  In (0,7), the ground is expected to be white, but it is red.
  In (0,8), the ground is expected to be white, but it is red.
  In (0,9), the ground is expected to be white, but it is red.
  In (0,10), the ground is expected to be white, but it is red.
  In (0,11), the ground is expected to be white, but it is red.
  In (0,12), the ground is expected to be white, but it is red.
  In (0,13), the ground is expected to be white, but it is red.
  In (0,14), the ground is expected to be white, but it is red.
  In (0,15), the ground is expected to be white, but it is red.
  In (0,16), the ground is expected to be white, but it is red.
  In (0,17), the ground is expected to be white, but it is red.
  In (0,18), the ground is expected to be white, but it is red.
  In (0,19), the ground is expected to be white, but it is red.
  In (0,20), the ground is expected to be white, but it is red.
  In (0,21), the ground is expected to be white, but it is red.
  In (0,22), the ground is expected to be white, but it is red.
  In (0,23), the ground is expected to be white, but it is red.
  In (0,24), the ground is expected to be white, but it is cyan.
  In (0,25), the ground is expected to be white, but it is cyan.
  In (0,26), the ground is expected to be white, but it is orange.
  In (0,27), the ground is expected to be white, but it is grey.
  In (0,28), the ground is expected to be white, but it is grey.
  In (0,29), the ground is expected to be white, but it is blue.
  In (0,30), the ground is expected to be white, but it is magenta.
  In (0,31), the ground is expected to be white, but it is magenta.
  In (0,32), the ground is expected to be white, but it is black.
  In (0,33), the ground is expected to be white, but it is grey.
  In (0,34), the ground is expected to be white, but it is black.
  In (0,35), the ground is expected to be white, but it is grey.
  In (0,36), the ground is expected to be white, but it is grey.
  In (0,37), the ground is expected to be white, but it is blue.
  In (0,38), the ground is expected to be white, but it is orange.
  In (0,39), the ground is expected to be white, but it is orange.
  In (0,40), the ground is expected to be white, but it is dark grey.
  In (0,41), the ground is expected to be white, but it is dark grey.
  In (0,42), the ground is expected to be white, but it is grey.
  In (0,43), the ground is expected to be white, but it is green.
  In (0,44), the ground is expected to be white, but it is yellow.
  In (0,45), the ground is expected to be white, but it is green.
  In (0,46), the ground is expected to be white, but it is red.
  In (0,47), the ground is expected to be white, but it is red.
  In (0,48), the ground is expected to be white, but it is red.
  In (0,49), the ground is expected to be white, but it is red.
  In (0,50), the ground is expected to be white, but it is red.
  In (0,51), the ground is expected to be white, but it is red.
  In (0,52), the ground is expected to be white, but it is red.
  In (0,53), the ground is expected to be white, but it is red.
  In (0,54), the ground is expected to be white, but it is red.
  In (0,55), the ground is expected to be white, but it is red.
  In (0,56), the ground is expected to be white, but it is red.
  In (0,57), the ground is expected to be white, but it is green.
  In (0,58), the ground is expected to be white, but it is blue.
  In (0,59), the ground is expected to be white, but it is yellow.
  In (0,60), the ground is expected to be white, but it is magenta.
  In (0,62), the ground is expected to be white, but it is yellow.
  In (0,63), the ground is expected to be white, but it is red.
  In (0,64), the ground is expected to be white, but it is yellow.
  In (1,4), the ground is expected to be white, but it is yellow.
  In (1,5), the ground is expected to be white, but it is red.
  In (1,6), the ground is expected to be white, but it is red.
  In (1,7), the ground is expected to be white, but it is red.
  In (1,8), the ground is expected to be white, but it is red.
  In (1,9), the ground is expected to be white, but it is red.
  In (1,10), the ground is expected to be white, but it is red.
  In (1,11), the ground is expected to be white, but it is red.
  In (1,12), the ground is expected to be white, but it is red.
  In (1,13), the ground is expected to be white, but it is red.
  In (1,14), the ground is expected to be white, but it is red.
  In (1,15), the ground is expected to be white, but it is red.
  In (1,16), the ground is expected to be white, but it is red.
  In (1,17), the ground is expected to be white, but it is red.
  In (1,18), the ground is expected to be white, but it is red.
  In (1,19), the ground is expected to be white, but it is red.
  In (1,20), the ground is expected to be white, but it is red.
  In (1,21), the ground is expected to be white, but it is red.
  In (1,22), the ground is expected to be white, but it is red.
  In (1,23), the ground is expected to be white, but it is red.
  In (1,24), the ground is expected to be white, but it is red.
  In (1,25), the ground is expected to be white, but it is red.
  In (1,26), the ground is expected to be white, but it is cyan.
  In (1,27), the ground is expected to be white, but it is dark grey.
  In (1,28), the ground is expected to be white, but it is blue.
  In (1,29), the ground is expected to be white, but it is yellow.
  In (1,30), the ground is expected to be white, but it is cyan.
  In (1,31), the ground is expected to be white, but it is blue.
  In (1,32), the ground is expected to be white, but it is black.
  In (1,33), the ground is expected to be white, but it is orange.
  In (1,34), the ground is expected to be white, but it is dark grey.
  In (1,35), the ground is expected to be white, but it is red.
  In (1,36), the ground is expected to be white, but it is red.
  In (1,37), the ground is expected to be white, but it is black.
  In (1,38), the ground is expected to be white, but it is dark grey.
  In (1,39), the ground is expected to be white, but it is dark grey.
  In (1,40), the ground is expected to be white, but it is red.
  In (1,41), the ground is expected to be white, but it is green.
  In (1,42), the ground is expected to be white, but it is cyan.
  In (1,43), the ground is expected to be white, but it is grey.
  In (1,45), the ground is expected to be white, but it is green.
  In (1,46), the ground is expected to be white, but it is red.
  In (1,47), the ground is expected to be white, but it is red.
  In (1,48), the ground is expected to be white, but it is red.
  In (1,49), the ground is expected to be white, but it is red.
  In (1,50), the ground is expected to be white, but it is red.
  In (1,51), the ground is expected to be white, but it is red.
  In (1,52), the ground is expected to be white, but it is red.
  In (1,53), the ground is expected to be white, but it is red.
  In (1,54), the ground is expected to be white, but it is red.
  In (1,55), the ground is expected to be white, but it is red.
  In (1,56), the ground is expected to be white, but it is cyan.
  In (1,57), the ground is expected to be white, but it is orange.
  In (1,58), the ground is expected to be white, but it is grey.
  In (1,59), the ground is expected to be white, but it is blue.
  In (1,60), the ground is expected to be white, but it is orange.
  In (1,61), the ground is expected to be white, but it is blue.
  In (1,62), the ground is expected to be white, but it is cyan.
  In (1,63), the ground is expected to be white, but it is red.
  In (1,64), the ground is expected to be white, but it is yellow.
  In (2,4), the ground is expected to be white, but it is yellow.
  In (2,5), the ground is expected to be white, but it is red.
  In (2,6), the ground is expected to be white, but it is red.
  In (2,7), the ground is expected to be white, but it is red.
  In (2,8), the ground is expected to be white, but it is red.
  In (2,9), the ground is expected to be white, but it is red.
  In (2,10), the ground is expected to be white, but it is red.
  In (2,11), the ground is expected to be white, but it is red.
  In (2,12), the ground is expected to be white, but it is red.
