The amount of steps is wrong: 8342 is not 0
  In (0,1), the ground is expected to be white, but it is yellow.
  In (0,11), the ground is expected to be white, but it is red.
  In (0,88), the ground is expected to be white, but it is yellow.
  In (0,92), the ground is expected to be white, but it is red.
  In (1,2), the ground is expected to be white, but it is yellow.
  In (1,3), the ground is expected to be white, but it is red.
  In (1,8), the ground is expected to be white, but it is red.
  In (1,12), the ground is expected to be white, but it is red.
  In (1,87), the ground is expected to be white, but it is yellow.
  In (1,91), the ground is expected to be white, but it is red.
  In (2,2), the ground is expected to be white, but it is yellow.
  In (2,4), the ground is expected to be white, but it is red.
  In (2,7), the ground is expected to be white, but it is red.
  In (2,9), the ground is expected to be white, but it is red.
  In (2,13), the ground is expected to be white, but it is red.
  In (2,86), the ground is expected to be white, but it is yellow.
  In (2,90), the ground is expected to be white, but it is red.
  In (3,1), the ground is expected to be white, but it is red.
  In (3,2), the ground is expected to be white, but it is yellow.
  In (3,6), the ground is expected to be white, but it is red.
  In (3,9), the ground is expected to be white, but it is yellow.
  In (3,10), the ground is expected to be white, but it is yellow.
  In (3,14), the ground is expected to be white, but it is red.
  In (3,49), the ground is expected to be yellow, but it is white.
  In (3,51), the ground is expected to be yellow, but it is white.
  In (3,52), the ground is expected to be yellow, but it is white.
  In (3,85), the ground is expected to be white, but it is yellow.
  In (3,89), the ground is expected to be white, but it is red.
  In (4,0), the ground is expected to be white, but it is red.
  In (4,2), the ground is expected to be white, but it is red.
  In (4,3), the ground is expected to be white, but it is yellow.
  In (4,5), the ground is expected to be white, but it is red.
  In (4,6), the ground is expected to be white, but it is yellow.
  In (4,7), the ground is expected to be white, but it is yellow.
  In (4,9), the ground is expected to be white, but it is yellow.
  In (4,11), the ground is expected to be white, but it is yellow.
  In (4,15), the ground is expected to be white, but it is red.
  In (4,49), the ground is expected to be yellow, but it is white.
  In (4,50), the ground is expected to be yellow, but it is white.
  In (4,51), the ground is expected to be yellow, but it is white.
  In (4,84), the ground is expected to be white, but it is yellow.
  In (4,88), the ground is expected to be white, but it is red.
  In (5,3), the ground is expected to be white, but it is yellow.
  In (5,6), the ground is expected to be white, but it is yellow.
  In (5,8), the ground is expected to be white, but it is yellow.
  In (5,9), the ground is expected to be white, but it is yellow.
  In (5,10), the ground is expected to be white, but it is red.
  In (5,12), the ground is expected to be white, but it is yellow.
  In (5,16), the ground is expected to be white, but it is red.
  In (5,31), the ground is expected to be yellow, but it is white.
  In (5,35), the ground is expected to be yellow, but it is white.
  In (5,36), the ground is expected to be yellow, but it is white.
  In (5,37), the ground is expected to be yellow, but it is white.
  In (5,38), the ground is expected to be yellow, but it is white.
  In (5,49), the ground is expected to be yellow, but it is white.
  In (5,50), the ground is expected to be yellow, but it is white.
  In (5,51), the ground is expected to be yellow, but it is white.
  In (5,83), the ground is expected to be white, but it is yellow.
  In (5,87), the ground is expected to be white, but it is red.
  In (5,99), the ground is expected to be white, but it is red.
  In (6,2), the ground is expected to be white, but it is yellow.
  In (6,7), the ground is expected to be white, but it is yellow.
  In (6,11), the ground is expected to be white, but it is red.
  In (6,13), the ground is expected to be white, but it is yellow.
  In (6,17), the ground is expected to be white, but it is red.
  In (6,31), the ground is expected to be yellow, but it is white.
  In (6,32), the ground is expected to be yellow, but it is white.
  In (6,33), the ground is expected to be yellow, but it is white.
  In (6,34), the ground is expected to be yellow, but it is white.
  In (6,36), the ground is expected to be yellow, but it is white.
  In (6,37), the ground is expected to be yellow, but it is white.
  In (6,48), the ground is expected to be yellow, but it is white.
  In (6,49), the ground is expected to be yellow, but it is white.
  In (6,52), the ground is expected to be yellow, but it is white.
  In (6,53), the ground is expected to be yellow, but it is white.
  In (6,82), the ground is expected to be white, but it is yellow.
  In (6,86), the ground is expected to be white, but it is red.
  In (6,98), the ground is expected to be white, but it is red.
  In (7,1), the ground is expected to be white, but it is yellow.
  In (7,8), the ground is expected to be white, but it is yellow.
  In (7,12), the ground is expected to be white, but it is red.
  In (7,14), the ground is expected to be white, but it is yellow.
  In (7,18), the ground is expected to be white, but it is red.
  In (7,32), the ground is expected to be yellow, but it is white.
  In (7,34), the ground is expected to be yellow, but it is white.
  In (7,39), the ground is expected to be yellow, but it is white.
  In (7,40), the ground is expected to be yellow, but it is white.
  In (7,41), the ground is expected to be yellow, but it is white.
  In (7,42), the ground is expected to be yellow, but it is white.
  In (7,45), the ground is expected to be yellow, but it is white.
  In (7,48), the ground is expected to be yellow, but it is white.
  In (7,49), the ground is expected to be yellow, but it is white.
  In (7,50), the ground is expected to be yellow, but it is white.
  In (7,51), the ground is expected to be yellow, but it is white.
  In (7,52), the ground is expected to be yellow, but it is white.
  In (7,53), the ground is expected to be yellow, but it is white.
