The amount of steps is wrong: 200000 is not 0
  In (0,51), the ground is expected to be white, but it is yellow.
  In (0,52), the ground is expected to be white, but it is yellow.
  In (0,53), the ground is expected to be white, but it is red.
  In (0,54), the ground is expected to be white, but it is red.
  In (0,56), the ground is expected to be white, but it is green.
  In (0,58), the ground is expected to be white, but it is grey.
  In (0,59), the ground is expected to be white, but it is black.
  In (0,60), the ground is expected to be white, but it is black.
  In (0,61), the ground is expected to be white, but it is orange.
  In (0,62), the ground is expected to be white, but it is red.
  In (0,63), the ground is expected to be white, but it is cyan.
  In (0,64), the ground is expected to be white, but it is red.
  In (0,65), the ground is expected to be white, but it is red.
  In (0,66), the ground is expected to be white, but it is green.
  In (0,67), the ground is expected to be white, but it is black.
  In (0,68), the ground is expected to be white, but it is red.
  In (0,69), the ground is expected to be white, but it is green.
  In (0,71), the ground is expected to be white, but it is red.
  In (0,72), the ground is expected to be white, but it is magenta.
  In (0,73), the ground is expected to be white, but it is green.
  In (0,74), the ground is expected to be white, but it is blue.
  In (0,75), the ground is expected to be white, but it is green.
  In (0,76), the ground is expected to be white, but it is grey.
  In (0,77), the ground is expected to be white, but it is yellow.
  In (0,78), the ground is expected to be white, but it is cyan.
  In (0,79), the ground is expected to be white, but it is grey.
  In (0,80), the ground is expected to be white, but it is green.
  In (0,81), the ground is expected to be white, but it is green.
  In (0,82), the ground is expected to be white, but it is red.
  In (0,83), the ground is expected to be white, but it is yellow.
  In (0,84), the ground is expected to be white, but it is cyan.
  In (0,85), the ground is expected to be white, but it is green.
  In (0,86), the ground is expected to be white, but it is red.
  In (1,55), the ground is expected to be white, but it is yellow.
  In (1,56), the ground is expected to be white, but it is cyan.
  In (1,57), the ground is expected to be white, but it is orange.
  In (1,58), the ground is expected to be white, but it is orange.
  In (1,59), the ground is expected to be white, but it is black.
  In (1,60), the ground is expected to be white, but it is black.
  In (1,61), the ground is expected to be white, but it is grey.
  In (1,62), the ground is expected to be white, but it is blue.
  In (1,63), the ground is expected to be white, but it is grey.
  In (1,64), the ground is expected to be white, but it is black.
  In (1,65), the ground is expected to be white, but it is black.
  In (1,66), the ground is expected to be white, but it is blue.
  In (1,67), the ground is expected to be white, but it is blue.
  In (1,68), the ground is expected to be white, but it is yellow.
  In (1,69), the ground is expected to be white, but it is cyan.
  In (1,70), the ground is expected to be white, but it is orange.
  In (1,71), the ground is expected to be white, but it is red.
  In (1,72), the ground is expected to be white, but it is green.
  In (1,73), the ground is expected to be white, but it is grey.
  In (1,74), the ground is expected to be white, but it is cyan.
  In (1,75), the ground is expected to be white, but it is blue.
  In (1,76), the ground is expected to be white, but it is grey.
  In (1,77), the ground is expected to be white, but it is yellow.
  In (1,79), the ground is expected to be white, but it is black.
  In (1,80), the ground is expected to be white, but it is orange.
  In (1,81), the ground is expected to be white, but it is yellow.
  In (1,84), the ground is expected to be white, but it is yellow.
  In (1,85), the ground is expected to be white, but it is yellow.
  In (2,55), the ground is expected to be white, but it is yellow.
  In (2,56), the ground is expected to be white, but it is cyan.
  In (2,57), the ground is expected to be white, but it is orange.
  In (2,58), the ground is expected to be white, but it is magenta.
  In (2,59), the ground is expected to be white, but it is red.
  In (2,60), the ground is expected to be white, but it is red.
  In (2,61), the ground is expected to be white, but it is red.
  In (2,62), the ground is expected to be white, but it is blue.
  In (2,63), the ground is expected to be white, but it is red.
  In (2,64), the ground is expected to be white, but it is blue.
  In (2,65), the ground is expected to be white, but it is yellow.
  In (2,68), the ground is expected to be white, but it is blue.
  In (2,70), the ground is expected to be white, but it is cyan.
  In (2,71), the ground is expected to be white, but it is blue.
  In (2,73), the ground is expected to be white, but it is magenta.
  In (2,74), the ground is expected to be white, but it is blue.
  In (2,75), the ground is expected to be white, but it is grey.
  In (2,76), the ground is expected to be white, but it is cyan.
  In (2,77), the ground is expected to be white, but it is orange.
  In (2,79), the ground is expected to be white, but it is grey.
  In (2,80), the ground is expected to be white, but it is black.
  In (2,81), the ground is expected to be white, but it is red.
  In (3,31), the ground is expected to be white, but it is red.
  In (3,32), the ground is expected to be white, but it is red.
  In (3,33), the ground is expected to be white, but it is yellow.
  In (3,34), the ground is expected to be white, but it is yellow.
  In (3,49), the ground is expected to be yellow, but it is white.
  In (3,51), the ground is expected to be yellow, but it is white.
  In (3,52), the ground is expected to be yellow, but it is white.
  In (3,56), the ground is expected to be white, but it is green.
  In (3,59), the ground is expected to be white, but it is grey.
  In (3,61), the ground is expected to be white, but it is red.
  In (3,62), the ground is expected to be white, but it is orange.
  In (3,63), the ground is expected to be white, but it is blue.
  In (3,64), the ground is expected to be white, but it is black.
  In (3,66), the ground is expected to be white, but it is orange.
  In (3,67), the ground is expected to be white, but it is yellow.
  In (3,68), the ground is expected to be white, but it is red.
  In (3,69), the ground is expected to be white, but it is blue.
  In (3,70), the ground is expected to be white, but it is magenta.
  In (3,71), the ground is expected to be white, but it is orange.
  In (3,72), the ground is expected to be white, but it is red.
  In (3,73), the ground is expected to be white, but it is red.
  In (3,75), the ground is expected to be white, but it is black.
  In (3,76), the ground is expected to be white, but it is black.
  In (3,77), the ground is expected to be white, but it is magenta.
  In (3,79), the ground is expected to be white, but it is magenta.
  In (3,80), the ground is expected to be white, but it is blue.
  In (3,81), the ground is expected to be white, but it is red.
  In (4,31), the ground is expected to be white, but it is red.
  In (4,32), the ground is expected to be white, but it is orange.
  In (4,33), the ground is expected to be white, but it is cyan.
  In (4,34), the ground is expected to be white, but it is cyan.
  In (4,35), the ground is expected to be white, but it is green.
  In (4,36), the ground is expected to be white, but it is cyan.
  In (4,37), the ground is expected to be white, but it is red.
  In (4,49), the ground is expected to be yellow, but it is white.
  In (4,50), the ground is expected to be yellow, but it is white.
  In (4,51), the ground is expected to be yellow, but it is white.
  In (4,56), the ground is expected to be white, but it is green.
  In (4,58), the ground is expected to be white, but it is yellow.
  In (4,59), the ground is expected to be white, but it is yellow.
  In (4,60), the ground is expected to be white, but it is red.
  In (4,63), the ground is expected to be white, but it is grey.
  In (4,64), the ground is expected to be white, but it is orange.
  In (4,65), the ground is expected to be white, but it is magenta.
  In (4,66), the ground is expected to be white, but it is grey.
  In (4,67), the ground is expected to be white, but it is grey.
  In (4,69), the ground is expected to be white, but it is green.
  In (4,70), the ground is expected to be white, but it is orange.
  In (4,71), the ground is expected to be white, but it is magenta.
  In (4,75), the ground is expected to be white, but it is grey.
  In (4,76), the ground is expected to be white, but it is red.
  In (4,77), the ground is expected to be white, but it is green.
  In (4,78), the ground is expected to be white, but it is black.
  In (4,79), the ground is expected to be white, but it is blue.
  In (4,80), the ground is expected to be white, but it is orange.
  In (4,81), the ground is expected to be white, but it is red.
  In (5,25), the ground is expected to be white, but it is red.
  In (5,26), the ground is expected to be white, but it is red.
  In (5,27), the ground is expected to be white, but it is yellow.
  In (5,28), the ground is expected to be white, but it is yellow.
  In (5,29), the ground is expected to be white, but it is yellow.
  In (5,30), the ground is expected to be white, but it is yellow.
  In (5,31), the ground is expected to be yellow, but it is red.
  In (5,32), the ground is expected to be white, but it is blue.
  In (5,33), the ground is expected to be white, but it is magenta.
  In (5,34), the ground is expected to be white, but it is magenta.
  In (5,35), the ground is expected to be yellow, but it is grey.
  In (5,36), the ground is expected to be yellow, but it is blue.
  In (5,37), the ground is expected to be yellow, but it is red.
  In (5,38), the ground is expected to be yellow, but it is white.
  In (5,49), the ground is expected to be yellow, but it is white.
  In (5,50), the ground is expected to be yellow, but it is white.
