The amount of steps is wrong: 98000 is not 0
  In (0,21), the ground is expected to be white, but it is yellow.
  In (0,22), the ground is expected to be white, but it is yellow.
  In (0,23), the ground is expected to be white, but it is yellow.
  In (0,24), the ground is expected to be white, but it is yellow.
  In (0,25), the ground is expected to be white, but it is yellow.
  In (0,26), the ground is expected to be white, but it is cyan.
  In (0,27), the ground is expected to be white, but it is yellow.
  In (0,28), the ground is expected to be white, but it is green.
  In (0,29), the ground is expected to be white, but it is green.
  In (0,30), the ground is expected to be white, but it is green.
  In (0,31), the ground is expected to be white, but it is cyan.
  In (0,32), the ground is expected to be white, but it is yellow.
  In (0,33), the ground is expected to be white, but it is orange.
  In (0,34), the ground is expected to be white, but it is red.
  In (0,35), the ground is expected to be white, but it is green.
  In (0,36), the ground is expected to be white, but it is red.
  In (0,37), the ground is expected to be white, but it is orange.
  In (0,38), the ground is expected to be white, but it is red.
  In (0,39), the ground is expected to be white, but it is yellow.
  In (0,40), the ground is expected to be white, but it is cyan.
  In (0,41), the ground is expected to be white, but it is red.
  In (0,42), the ground is expected to be white, but it is orange.
  In (0,44), the ground is expected to be white, but it is green.
  In (0,45), the ground is expected to be white, but it is orange.
  In (0,46), the ground is expected to be white, but it is yellow.
  In (0,47), the ground is expected to be white, but it is cyan.
  In (0,48), the ground is expected to be white, but it is cyan.
  In (0,49), the ground is expected to be white, but it is cyan.
  In (0,50), the ground is expected to be white, but it is cyan.
  In (0,51), the ground is expected to be white, but it is red.
  In (0,53), the ground is expected to be white, but it is cyan.
  In (0,54), the ground is expected to be white, but it is cyan.
  In (0,55), the ground is expected to be white, but it is cyan.
  In (0,56), the ground is expected to be white, but it is orange.
  In (0,57), the ground is expected to be white, but it is cyan.
  In (0,58), the ground is expected to be white, but it is green.
  In (0,59), the ground is expected to be white, but it is yellow.
  In (0,60), the ground is expected to be white, but it is orange.
  In (0,61), the ground is expected to be white, but it is yellow.
  In (0,62), the ground is expected to be white, but it is green.
  In (0,63), the ground is expected to be white, but it is green.
  In (0,64), the ground is expected to be white, but it is orange.
  In (0,65), the ground is expected to be white, but it is orange.
  In (0,67), the ground is expected to be white, but it is yellow.
  In (0,69), the ground is expected to be white, but it is orange.
  In (0,70), the ground is expected to be white, but it is cyan.
  In (0,71), the ground is expected to be white, but it is green.
  In (0,73), the ground is expected to be white, but it is green.
  In (0,74), the ground is expected to be white, but it is red.
  In (0,75), the ground is expected to be white, but it is yellow.
  In (1,25), the ground is expected to be white, but it is yellow.
  In (1,26), the ground is expected to be white, but it is cyan.
  In (1,27), the ground is expected to be white, but it is yellow.
  In (1,28), the ground is expected to be white, but it is orange.
  In (1,29), the ground is expected to be white, but it is yellow.
  In (1,30), the ground is expected to be white, but it is red.
  In (1,31), the ground is expected to be white, but it is cyan.
  In (1,32), the ground is expected to be white, but it is orange.
  In (1,37), the ground is expected to be white, but it is cyan.
  In (1,39), the ground is expected to be white, but it is cyan.
  In (1,40), the ground is expected to be white, but it is yellow.
  In (1,41), the ground is expected to be white, but it is yellow.
  In (1,42), the ground is expected to be white, but it is orange.
  In (1,44), the ground is expected to be white, but it is yellow.
  In (1,45), the ground is expected to be white, but it is green.
  In (1,46), the ground is expected to be white, but it is orange.
  In (1,47), the ground is expected to be white, but it is cyan.
  In (1,48), the ground is expected to be white, but it is cyan.
  In (1,49), the ground is expected to be white, but it is red.
  In (1,50), the ground is expected to be white, but it is green.
  In (1,51), the ground is expected to be white, but it is cyan.
  In (1,52), the ground is expected to be white, but it is red.
  In (1,53), the ground is expected to be white, but it is yellow.
  In (1,54), the ground is expected to be white, but it is red.
  In (1,55), the ground is expected to be white, but it is cyan.
  In (1,56), the ground is expected to be white, but it is yellow.
  In (1,57), the ground is expected to be white, but it is green.
  In (1,58), the ground is expected to be white, but it is cyan.
  In (1,59), the ground is expected to be white, but it is orange.
  In (1,60), the ground is expected to be white, but it is green.
  In (1,61), the ground is expected to be white, but it is red.
  In (1,62), the ground is expected to be white, but it is yellow.
  In (1,63), the ground is expected to be white, but it is yellow.
  In (1,64), the ground is expected to be white, but it is orange.
  In (1,66), the ground is expected to be white, but it is green.
  In (1,67), the ground is expected to be white, but it is green.
  In (1,69), the ground is expected to be white, but it is yellow.
  In (1,70), the ground is expected to be white, but it is cyan.
  In (1,71), the ground is expected to be white, but it is cyan.
  In (1,72), the ground is expected to be white, but it is green.
  In (1,75), the ground is expected to be white, but it is red.
  In (2,24), the ground is expected to be white, but it is yellow.
  In (2,25), the ground is expected to be white, but it is cyan.
  In (2,27), the ground is expected to be white, but it is yellow.
  In (2,28), the ground is expected to be white, but it is orange.
  In (2,29), the ground is expected to be white, but it is yellow.
  In (2,30), the ground is expected to be white, but it is green.
  In (2,31), the ground is expected to be white, but it is cyan.
  In (2,33), the ground is expected to be white, but it is green.
  In (2,34), the ground is expected to be white, but it is red.
  In (2,35), the ground is expected to be white, but it is red.
  In (2,36), the ground is expected to be white, but it is red.
  In (2,37), the ground is expected to be white, but it is orange.
  In (2,38), the ground is expected to be white, but it is cyan.
  In (2,40), the ground is expected to be white, but it is red.
  In (2,41), the ground is expected to be white, but it is red.
  In (2,42), the ground is expected to be white, but it is red.
  In (2,43), the ground is expected to be white, but it is cyan.
  In (2,44), the ground is expected to be white, but it is cyan.
  In (2,46), the ground is expected to be white, but it is cyan.
  In (2,47), the ground is expected to be white, but it is orange.
  In (2,48), the ground is expected to be white, but it is yellow.
  In (2,51), the ground is expected to be white, but it is yellow.
  In (2,52), the ground is expected to be white, but it is orange.
  In (2,53), the ground is expected to be white, but it is green.
  In (2,54), the ground is expected to be white, but it is yellow.
  In (2,56), the ground is expected to be white, but it is green.
  In (2,57), the ground is expected to be white, but it is orange.
  In (2,59), the ground is expected to be white, but it is red.
  In (2,60), the ground is expected to be white, but it is orange.
  In (2,61), the ground is expected to be white, but it is yellow.
  In (2,62), the ground is expected to be white, but it is red.
