The amount of steps is wrong: 8342 is not 0
  In (0,55), the ground is expected to be white, but it is yellow.
  In (0,56), the ground is expected to be white, but it is yellow.
  In (0,57), the ground is expected to be white, but it is yellow.
  In (0,59), the ground is expected to be white, but it is yellow.
  In (0,61), the ground is expected to be white, but it is yellow.
  In (0,62), the ground is expected to be white, but it is yellow.
  In (0,74), the ground is expected to be white, but it is yellow.
  In (0,75), the ground is expected to be white, but it is yellow.
  In (0,77), the ground is expected to be white, but it is yellow.
  In (0,79), the ground is expected to be white, but it is yellow.
  In (0,80), the ground is expected to be white, but it is yellow.
  In (0,81), the ground is expected to be white, but it is yellow.
  In (1,55), the ground is expected to be white, but it is yellow.
  In (1,62), the ground is expected to be white, but it is yellow.
  In (1,75), the ground is expected to be white, but it is yellow.
  In (1,76), the ground is expected to be white, but it is yellow.
  In (1,78), the ground is expected to be white, but it is yellow.
  In (1,79), the ground is expected to be white, but it is yellow.
  In (1,81), the ground is expected to be white, but it is yellow.
  In (1,82), the ground is expected to be white, but it is yellow.
  In (1,83), the ground is expected to be white, but it is yellow.
  In (2,54), the ground is expected to be white, but it is yellow.
  In (2,55), the ground is expected to be white, but it is yellow.
  In (2,58), the ground is expected to be white, but it is yellow.
  In (2,60), the ground is expected to be white, but it is yellow.
  In (2,74), the ground is expected to be white, but it is yellow.
  In (2,75), the ground is expected to be white, but it is yellow.
  In (2,76), the ground is expected to be white, but it is yellow.
  In (2,77), the ground is expected to be white, but it is yellow.
  In (2,78), the ground is expected to be white, but it is yellow.
  In (2,79), the ground is expected to be white, but it is yellow.
  In (2,80), the ground is expected to be white, but it is yellow.
  In (2,81), the ground is expected to be white, but it is yellow.
  In (2,82), the ground is expected to be white, but it is yellow.
  In (2,83), the ground is expected to be white, but it is yellow.
  In (2,84), the ground is expected to be white, but it is yellow.
  In (2,85), the ground is expected to be white, but it is yellow.
  In (2,86), the ground is expected to be white, but it is yellow.
  In (3,49), the ground is expected to be yellow, but it is white.
  In (3,51), the ground is expected to be yellow, but it is white.
  In (3,52), the ground is expected to be yellow, but it is white.
  In (3,54), the ground is expected to be white, but it is yellow.
  In (3,55), the ground is expected to be white, but it is yellow.
  In (3,58), the ground is expected to be white, but it is yellow.
  In (3,60), the ground is expected to be white, but it is yellow.
  In (3,77), the ground is expected to be white, but it is yellow.
  In (3,78), the ground is expected to be white, but it is yellow.
  In (3,80), the ground is expected to be white, but it is yellow.
  In (3,81), the ground is expected to be white, but it is yellow.
  In (3,82), the ground is expected to be white, but it is yellow.
  In (3,84), the ground is expected to be white, but it is yellow.
  In (3,85), the ground is expected to be white, but it is yellow.
  In (4,49), the ground is expected to be yellow, but it is white.
  In (4,50), the ground is expected to be yellow, but it is white.
  In (4,51), the ground is expected to be yellow, but it is white.
  In (4,53), the ground is expected to be white, but it is yellow.
  In (4,54), the ground is expected to be white, but it is yellow.
  In (4,59), the ground is expected to be white, but it is yellow.
  In (4,60), the ground is expected to be white, but it is yellow.
  In (4,76), the ground is expected to be white, but it is yellow.
  In (4,77), the ground is expected to be white, but it is yellow.
  In (4,82), the ground is expected to be white, but it is yellow.
  In (4,84), the ground is expected to be white, but it is yellow.
  In (4,85), the ground is expected to be white, but it is yellow.
  In (4,86), the ground is expected to be white, but it is yellow.
  In (5,31), the ground is expected to be yellow, but it is white.
  In (5,35), the ground is expected to be yellow, but it is white.
  In (5,36), the ground is expected to be yellow, but it is white.
  In (5,37), the ground is expected to be yellow, but it is white.
  In (5,38), the ground is expected to be yellow, but it is white.
  In (5,49), the ground is expected to be yellow, but it is white.
  In (5,50), the ground is expected to be yellow, but it is white.
  In (5,51), the ground is expected to be yellow, but it is white.
  In (5,53), the ground is expected to be white, but it is yellow.
  In (5,55), the ground is expected to be white, but it is yellow.
  In (5,56), the ground is expected to be white, but it is yellow.
  In (5,58), the ground is expected to be white, but it is yellow.
  In (5,60), the ground is expected to be white, but it is yellow.
  In (5,77), the ground is expected to be white, but it is yellow.
  In (5,78), the ground is expected to be white, but it is yellow.
  In (5,81), the ground is expected to be white, but it is yellow.
  In (5,82), the ground is expected to be white, but it is yellow.
  In (5,83), the ground is expected to be white, but it is yellow.
  In (5,86), the ground is expected to be white, but it is yellow.
  In (6,31), the ground is expected to be yellow, but it is white.
  In (6,32), the ground is expected to be yellow, but it is white.
  In (6,33), the ground is expected to be yellow, but it is white.
  In (6,34), the ground is expected to be yellow, but it is white.
  In (6,36), the ground is expected to be yellow, but it is white.
  In (6,37), the ground is expected to be yellow, but it is white.
  In (6,48), the ground is expected to be yellow, but it is white.
