The turtle Hawksbill is at the right location.  There is 378 shapes, but only 10 shapes were expected
Superflous shapes in your solution:
   Line (x0,000 y269,181 / x1,047 y268,576 / black) 
   Line (x0,000 y212,436 / x1,441 y214,094 / black) 
   Line (x0,000 y107,548 / x2,843 y107,648 / black) 
   Line (x0,000 y201,832 / x3,801 y201,964 / black) 
   Line (x0,000 y92,540 / x4,753 y91,956 / black) 
   Line (x0,000 y297,927 / x6,019 y300,000 / black) 
   Line (x0,000 y230,573 / x6,593 y272,202 / black) 
   Line (x0,000 y11,709 / x6,875 y6,142 / black) 
   Line (x0,000 y207,525 / x8,922 y202,979 / black) 
   Line (x0,000 y290,643 / x9,780 y276,675 / black) 
   Line (x0,000 y168,181 / x9,874 y173,432 / black) 
   Line (x0,000 y278,799 / x10,246 y283,797 / black) 
   Line (x0,000 y193,742 / x10,357 y211,680 / black) 
   Line (x0,000 y277,046 / x20,206 y292,272 / black) 
   Line (x0,000 y28,457 / x21,080 y22,012 / black) 
   Line (x0,000 y76,246 / x26,850 y80,981 / black) 
   Line (x0,002 y3,637 / x0,000 y3,635 / black) 
   Line (x0,002 y3,637 / x27,196 y32,799 / black) 
   Line (x1,047 y268,576 / x7,935 y264,758 / black) 
   Line (x1,441 y214,094 / x12,851 y227,691 / black) 
   Line (x2,843 y107,648 / x36,962 y108,243 / black) 
   Line (x3,801 y201,964 / x15,660 y202,586 / black) 
   Line (x4,753 y91,956 / x37,432 y87,364 / black) 
   Line (x6,019 y0,000 / x15,006 y3,094 / black) 
   Line (x6,593 y272,202 / x11,495 y300,000 / black) 
   Line (x6,875 y6,142 / x14,195 y0,000 / black) 
   Line (x7,935 y264,758 / x14,998 y261,002 / black) 
   Line (x8,922 y202,979 / x35,852 y188,660 / black) 
   Line (x9,780 y276,675 / x24,879 y254,291 / black) 
   Line (x9,874 y173,432 / x43,176 y190,400 / black) 
   Line (x10,246 y283,797 / x23,500 y290,550 / black) 
   Line (x10,357 y211,680 / x31,667 y247,146 / black) 
   Line (x11,495 y0,000 / x14,234 y15,534 / black) 
   Line (x12,851 y227,691 / x24,100 y241,583 / black) 
   Line (x14,195 y300,000 / x29,091 y287,501 / black) 
   Line (x14,234 y15,534 / x22,606 y58,602 / black) 
   Line (x14,998 y261,002 / x22,238 y257,314 / black) 
   Line (x15,006 y3,094 / x49,481 y14,296 / black) 
   Line (x15,660 y202,586 / x27,630 y203,423 / black) 
   Line (x20,206 y292,272 / x30,842 y300,000 / black) 
   Line (x21,080 y22,012 / x51,276 y12,201 / black) 
   Line (x22,238 y257,314 / x29,653 y253,697 / black) 
   Line (x22,606 y58,602 / x31,702 y101,396 / black) 
   Line (x23,500 y290,550 / x36,744 y297,592 / black) 
   Line (x24,100 y241,583 / x35,182 y255,767 / black) 
   Line (x24,879 y254,291 / x39,516 y231,751 / black) 
   Line (x26,850 y80,981 / x61,542 y86,475 / black) 
   Line (x27,196 y32,799 / x54,809 y61,393 / black) 
   Line (x27,630 y203,423 / x39,709 y204,480 / black) 
   Line (x29,091 y287,501 / x50,883 y268,557 / black) 
   Line (x29,653 y253,697 / x37,243 y250,158 / black) 
   Line (x30,842 y0,000 / x51,353 y14,902 / black) 
   Line (x31,667 y247,146 / x53,526 y282,128 / black) 
   Line (x31,702 y101,396 / x41,515 y143,903 / black) 
   Line (x35,182 y255,767 / x46,090 y270,242 / black) 
   Line (x35,852 y188,660 / x62,418 y173,934 / black) 
