The turtle Hawksbill is at the right location.  There is 181 shapes, but only 180 shapes were expected
Superflous shapes in your solution:
   Line (x50,000 y144,000 / x250,000 y144,000 / red) 
   Line (x50,015 y142,255 / x249,985 y145,745 / red) 
   Line (x50,015 y145,745 / x249,985 y142,255 / red) 
   Line (x50,061 y140,510 / x249,939 y147,490 / red) 
   Line (x50,061 y147,490 / x249,939 y140,510 / red) 
   Line (x50,137 y138,766 / x249,863 y149,234 / red) 
   Line (x50,137 y149,234 / x249,863 y138,766 / red) 
   Line (x50,244 y137,024 / x249,756 y150,976 / red) 
   Line (x50,244 y150,976 / x249,756 y137,024 / red) 
   Line (x50,381 y135,284 / x249,619 y152,716 / red) 
   Line (x50,381 y152,716 / x249,619 y135,284 / red) 
   Line (x50,548 y133,547 / x249,452 y154,453 / red) 
   Line (x50,548 y154,453 / x249,452 y133,547 / red) 
   Line (x50,745 y131,813 / x249,255 y156,187 / red) 
   Line (x50,745 y156,187 / x249,255 y131,813 / red) 
   Line (x50,973 y130,083 / x249,027 y157,917 / red) 
   Line (x50,973 y157,917 / x249,027 y130,083 / red) 
   Line (x51,231 y128,357 / x248,769 y159,643 / red) 
   Line (x51,231 y159,643 / x248,769 y128,357 / red) 
   Line (x51,519 y126,635 / x248,481 y161,365 / black) 
   Line (x51,519 y161,365 / x248,481 y126,635 / red) 
   Line (x51,837 y124,919 / x248,163 y163,081 / black) 
   Line (x51,837 y163,081 / x248,163 y124,919 / black) 
   Line (x52,185 y123,209 / x247,815 y164,791 / black) 
   Line (x52,185 y164,791 / x247,815 y123,209 / black) 
   Line (x52,563 y121,505 / x247,437 y166,495 / black) 
   Line (x52,563 y166,495 / x247,437 y121,505 / black) 
   Line (x52,970 y119,808 / x247,030 y168,192 / black) 
   Line (x52,970 y168,192 / x247,030 y119,808 / black) 
   Line (x53,407 y118,118 / x246,593 y169,882 / black) 
   Line (x53,407 y169,882 / x246,593 y118,118 / black) 
   Line (x53,874 y116,436 / x246,126 y171,564 / black) 
   Line (x53,874 y171,564 / x246,126 y116,436 / black) 
   Line (x54,370 y114,763 / x245,630 y173,237 / black) 
   Line (x54,370 y173,237 / x245,630 y114,763 / black) 
   Line (x54,894 y113,098 / x245,106 y174,902 / black) 
   Line (x54,894 y174,902 / x245,106 y113,098 / black) 
   Line (x55,448 y111,443 / x244,552 y176,557 / black) 
   Line (x55,448 y176,557 / x244,552 y111,443 / black) 
   Line (x56,031 y109,798 / x243,969 y178,202 / black) 
   Line (x56,031 y178,202 / x243,969 y109,798 / black) 
   Line (x56,642 y108,163 / x243,358 y179,837 / black) 
   Line (x56,642 y179,837 / x243,358 y108,163 / black) 
   Line (x57,282 y106,539 / x242,718 y181,461 / black) 
   Line (x57,282 y181,461 / x242,718 y106,539 / black) 
   Line (x57,950 y104,927 / x242,050 y183,073 / black) 
   Line (x57,950 y183,073 / x242,050 y104,927 / black) 
   Line (x58,645 y103,326 / x241,355 y184,674 / black) 
   Line (x58,645 y184,674 / x241,355 y103,326 / black) 
   Line (x59,369 y101,738 / x240,631 y186,262 / black) 
   Line (x59,369 y186,262 / x240,631 y101,738 / black) 
   Line (x60,121 y100,163 / x239,879 y187,837 / black) 
   Line (x60,121 y187,837 / x239,879 y100,163 / black) 
   Line (x60,899 y98,601 / x239,101 y189,399 / black) 
   Line (x60,899 y189,399 / x239,101 y98,601 / black) 
   Line (x61,705 y97,053 / x238,295 y190,947 / black) 
   Line (x61,705 y190,947 / x238,295 y97,053 / black) 
   Line (x62,538 y95,519 / x237,462 y192,481 / black) 
   Line (x62,538 y192,481 / x237,462 y95,519 / black) 
   Line (x63,397 y94,000 / x236,603 y194,000 / red) 
   Line (x63,397 y194,000 / x236,603 y94,000 / black) 
   Line (x64,283 y92,496 / x235,717 y195,504 / red) 
   Line (x64,283 y195,504 / x235,717 y92,496 / red) 
   Line (x65,195 y91,008 / x234,805 y196,992 / red) 
   Line (x65,195 y196,992 / x234,805 y91,008 / red) 
   Line (x66,133 y89,536 / x233,867 y198,464 / red) 
   Line (x66,133 y198,464 / x233,867 y89,536 / red) 
   Line (x67,096 y88,081 / x232,904 y199,919 / red) 
   Line (x67,096 y199,919 / x232,904 y88,081 / red) 
   Line (x68,085 y86,642 / x231,915 y201,358 / red) 
   Line (x68,085 y201,358 / x231,915 y86,642 / red) 
   Line (x69,098 y85,221 / x230,902 y202,779 / red) 
   Line (x69,098 y202,779 / x230,902 y85,221 / red) 
   Line (x70,136 y83,818 / x229,864 y204,182 / red) 
   Line (x70,136 y204,182 / x229,864 y83,818 / red) 
