The turtle Hawksbill is not heading to the right direction.  There is 294 shapes, but only 180 shapes were expected
Superflous shapes in your solution:
   Line (x50,001 y150,436 / x249,996 y149,127 / red) 
   Line (x50,009 y148,691 / x249,985 y151,745 / red) 
   Line (x50,024 y152,181 / x249,976 y147,819 / red) 
   Line (x50,047 y146,946 / x249,953 y153,054 / red) 
   Line (x50,077 y153,926 / x249,885 y145,202 / red) 
   Line (x50,115 y145,202 / x249,839 y155,669 / red) 
   Line (x50,161 y155,669 / x249,813 y143,895 / red) 
   Line (x50,214 y143,460 / x249,756 y156,976 / red) 
   Line (x50,275 y157,411 / x249,725 y142,589 / red) 
   Line (x50,343 y141,719 / x249,657 y158,281 / red) 
   Line (x50,420 y159,150 / x249,497 y139,981 / red) 
   Line (x50,503 y139,981 / x249,406 y160,887 / red) 
   Line (x50,594 y160,887 / x249,357 y138,680 / red) 
   Line (x50,693 y138,246 / x249,255 y162,187 / red) 
   Line (x50,800 y162,620 / x249,200 y137,380 / red) 
   Line (x50,913 y136,515 / x249,087 y163,485 / red) 
   Line (x51,035 y164,349 / x248,836 y134,788 / red) 
   Line (x51,164 y134,788 / x248,700 y166,074 / red) 
   Line (x51,231 y165,643 / x248,629 y133,495 / black) 
   Line (x51,444 y166,935 / x150,000 y150,000 / black) 
   Line (x51,444 y133,065 / x248,481 y167,365 / red) 
   Line (x51,675 y168,224 / x248,325 y131,776 / black) 
   Line (x51,755 y131,348 / x248,245 y168,652 / red) 
   Line (x51,921 y169,509 / x247,992 y130,063 / black) 
   Line (x52,095 y129,636 / x247,905 y170,364 / black) 
   Line (x52,185 y170,791 / x247,630 y128,356 / black) 
   Line (x52,370 y128,356 / x247,534 y172,070 / black) 
   Line (x52,466 y172,070 / x150,000 y150,000 / black) 
   Line (x52,662 y127,080 / x247,134 y173,769 / black) 
   Line (x52,763 y173,345 / x247,237 y126,655 / black) 
   Line (x52,970 y125,808 / x150,000 y150,000 / black) 
   Line (x53,077 y174,615 / x246,815 y124,962 / black) 
   Line (x53,295 y124,540 / x246,705 y175,460 / black) 
   Line (x53,407 y175,882 / x246,363 y123,276 / black) 
   Line (x53,637 y123,276 / x246,246 y177,144 / black) 
   Line (x53,754 y177,144 / x150,000 y150,000 / black) 
   Line (x53,995 y122,017 / x245,757 y178,820 / black) 
   Line (x54,118 y178,402 / x245,882 y121,598 / black) 
   Line (x54,370 y120,763 / x150,000 y150,000 / black) 
   Line (x54,498 y179,654 / x245,372 y119,929 / black) 
   Line (x54,760 y119,514 / x245,240 y180,486 / black) 
   Line (x54,894 y180,902 / x244,832 y118,270 / black) 
   Line (x55,168 y118,270 / x244,693 y182,144 / black) 
   Line (x55,307 y182,144 / x150,000 y150,000 / black) 
   Line (x55,591 y117,031 / x244,118 y183,792 / black) 
   Line (x55,736 y183,381 / x244,264 y116,619 / black) 
   Line (x56,031 y115,798 / x150,000 y150,000 / black) 
   Line (x56,181 y184,612 / x243,667 y114,979 / black) 
   Line (x56,486 y114,571 / x243,514 y185,429 / black) 
   Line (x56,642 y185,837 / x150,000 y150,000 / black) 
   Line (x56,958 y113,350 / x242,881 y187,056 / black) 
   Line (x57,119 y187,056 / x243,042 y113,350 / black) 
   Line (x57,446 y112,135 / x150,000 y150,000 / black) 
   Line (x57,612 y188,268 / x242,388 y111,732 / black) 
   Line (x57,950 y110,927 / x242,220 y188,671 / black) 
   Line (x58,121 y189,474 / x241,706 y110,125 / black) 
   Line (x58,469 y109,725 / x241,531 y190,275 / black) 
   Line (x58,645 y190,674 / x150,000 y150,000 / black) 
   Line (x59,004 y108,531 / x240,814 y191,866 / black) 
   Line (x59,186 y191,866 / x240,996 y108,531 / black) 
   Line (x59,554 y107,343 / x150,000 y150,000 / black) 
   Line (x59,741 y193,051 / x240,259 y106,949 / black) 
   Line (x60,121 y106,163 / x240,070 y193,445 / black) 
   Line (x60,313 y194,229 / x239,493 y105,380 / black) 
   Line (x60,702 y104,990 / x239,298 y195,010 / black) 
   Line (x60,899 y195,399 / x150,000 y150,000 / black) 
   Line (x61,299 y103,825 / x238,499 y196,561 / black) 
   Line (x61,501 y196,561 / x238,701 y103,825 / black) 
   Line (x61,911 y102,668 / x150,000 y150,000 / black) 
   Line (x62,118 y197,716 / x237,882 y102,284 / black) 
   Line (x62,538 y101,519 / x237,673 y198,099 / black) 
   Line (x62,964 y199,242 / x237,036 y100,758 / red) 
   Line (x63,180 y100,378 / x236,820 y199,622 / black) 
   Line (x63,837 y99,246 / x235,941 y201,129 / black) 
   Line (x63,837 y200,754 / x236,384 y99,623 / red) 
   Line (x64,509 y98,123 / x235,264 y202,250 / black) 
   Line (x64,736 y202,250 / x235,035 y97,379 / red) 
   Line (x65,195 y97,008 / x234,573 y203,361 / red) 
   Line (x65,661 y203,730 / x234,339 y96,270 / red) 
   Line (x66,611 y205,194 / x233,629 y95,171 / red) 
   Line (x67,096 y94,081 / x233,147 y205,557 / red) 
   Line (x67,587 y206,641 / x232,165 y93,000 / red) 
   Line (x68,085 y92,642 / x231,664 y207,715 / red) 
   Line (x68,588 y208,070 / x231,412 y91,930 / red) 
   Line (x69,614 y209,482 / x230,644 y90,869 / red) 
   Line (x70,136 y89,818 / x230,125 y209,832 / red) 
   Line (x70,665 y210,876 / x229,069 y88,778 / red) 
   Line (x71,199 y88,434 / x228,532 y211,909 / red) 
   Line (x71,739 y212,251 / x228,261 y87,749 / red) 
   Line (x72,838 y213,608 / x227,439 y86,729 / red) 
   Line (x73,396 y85,721 / x226,884 y213,944 / red) 
   Line (x73,959 y214,945 / x225,756 y84,724 / red) 
   Line (x74,529 y84,394 / x225,184 y215,935 / red) 
   Line (x75,104 y216,262 / x224,896 y83,738 / red) 
   Line (x76,272 y217,559 / x224,022 y82,763 / red) 
   Line (x76,865 y81,800 / x223,432 y217,880 / red) 
   Line (x77,463 y218,835 / x222,236 y80,849 / red) 
   Line (x78,066 y80,534 / x221,630 y219,779 / red) 
   Line (x78,675 y220,091 / x221,325 y79,909 / red) 
   Line (x79,909 y221,325 / x220,401 y78,981 / red) 
   Line (x80,534 y78,066 / x219,779 y221,630 / red) 
   Line (x81,165 y222,537 / x218,518 y77,163 / red) 
   Line (x81,800 y76,865 / x217,880 y223,432 / red) 
   Line (x82,441 y223,728 / x217,559 y76,272 / red) 
   Line (x83,738 y224,896 / x216,588 y75,394 / red) 
   Line (x84,394 y74,529 / x150,000 y150,000 / red) 
   Line (x84,724 y225,756 / x150,000 y150,000 / black) 
   Line (x85,721 y73,396 / x150,000 y150,000 / red) 
   Line (x85,721 y226,604 / x150,000 y150,000 / black) 
   Line (x86,729 y227,439 / x213,271 y72,561 / black) 
   Line (x87,068 y72,285 / x212,932 y227,715 / red) 
   Line (x87,749 y228,261 / x150,000 y150,000 / black) 
   Line (x88,778 y229,069 / x150,000 y150,000 / black) 
   Line (x89,471 y70,400 / x150,000 y150,000 / black) 
   Line (x89,818 y229,864 / x150,000 y150,000 / black) 
   Line (x90,518 y69,614 / x150,000 y150,000 / black) 
   Line (x90,869 y230,644 / x209,131 y69,356 / black) 
   Line (x91,575 y68,843 / x150,000 y150,000 / black) 
   Line (x91,930 y231,412 / x150,000 y150,000 / black) 
   Line (x93,000 y232,165 / x150,000 y150,000 / black) 
