The turtle Hawksbill is not heading to the right direction.  There is 249 shapes, but only 180 shapes were expected
Superflous shapes in your solution:
   Line (x50,001 y149,564 / x249,991 y151,309 / red) 
   Line (x50,009 y151,309 / x249,976 y147,819 / red) 
   Line (x50,024 y147,819 / x249,953 y153,054 / red) 
   Line (x50,047 y153,054 / x249,923 y146,074 / red) 
   Line (x50,077 y146,074 / x249,885 y154,798 / red) 
   Line (x50,115 y154,798 / x249,839 y144,331 / red) 
   Line (x50,161 y144,331 / x249,786 y156,540 / red) 
   Line (x50,214 y156,540 / x249,725 y142,589 / red) 
   Line (x50,275 y142,589 / x249,692 y157,846 / red) 
   Line (x50,343 y158,281 / x249,580 y140,850 / red) 
   Line (x50,420 y140,850 / x249,580 y159,150 / red) 
   Line (x50,503 y160,019 / x249,406 y139,113 / red) 
   Line (x50,594 y139,113 / x249,307 y161,754 / red) 
   Line (x50,693 y161,754 / x249,200 y137,380 / red) 
   Line (x50,800 y137,380 / x249,144 y163,053 / red) 
   Line (x50,913 y163,485 / x248,965 y135,651 / red) 
   Line (x51,035 y135,651 / x248,965 y164,349 / red) 
   Line (x51,164 y165,212 / x248,700 y133,926 / red) 
   Line (x51,300 y133,926 / x248,556 y166,935 / red) 
   Line (x51,371 y166,505 / x150,000 y150,000 / black) 
   Line (x51,596 y132,206 / x248,325 y168,224 / red) 
   Line (x51,596 y167,794 / x248,404 y132,206 / black) 
   Line (x51,837 y169,081 / x248,079 y130,491 / black) 
   Line (x52,095 y170,364 / x247,723 y128,782 / black) 
   Line (x52,370 y171,644 / x150,000 y150,000 / black) 
   Line (x52,662 y172,920 / x247,338 y127,080 / black) 
   Line (x52,970 y174,192 / x246,923 y125,385 / black) 
   Line (x53,295 y175,460 / x246,479 y123,697 / black) 
   Line (x53,637 y176,724 / x150,000 y150,000 / black) 
   Line (x53,995 y177,983 / x246,005 y122,017 / black) 
   Line (x54,760 y180,486 / x245,240 y119,514 / black) 
   Line (x55,168 y181,730 / x244,832 y118,270 / black) 
   Line (x55,591 y182,969 / x244,409 y117,031 / black) 
   Line (x56,642 y185,837 / x243,514 y114,571 / red) 
   Line (x57,282 y187,461 / x242,554 y112,135 / red) 
   Line (x57,950 y189,073 / x242,050 y110,927 / red) 
   Line (x58,645 y190,674 / x241,531 y109,725 / red) 
   Line (x59,369 y192,262 / x240,446 y107,343 / red) 
   Line (x60,121 y193,837 / x239,879 y106,163 / red) 
   Line (x60,899 y195,399 / x239,298 y104,990 / red) 
