  There is 311 shapes, but only 180 shapes were expected
Superflous shapes in your solution:
   Line (x50,001 y150,499 / x249,989 y148,504 / red) 
   Line (x50,031 y147,507 / x249,939 y153,490 / red) 
   Line (x50,061 y153,490 / x249,899 y145,514 / red) 
   Line (x50,150 y144,517 / x249,850 y155,483 / red) 
   Line (x50,150 y155,483 / x249,850 y144,517 / red) 
   Line (x50,210 y143,522 / x249,790 y156,478 / red) 
   Line (x50,210 y156,478 / x249,790 y143,522 / red) 
   Line (x50,280 y142,527 / x249,720 y157,473 / red) 
   Line (x50,280 y157,473 / x249,720 y142,527 / red) 
   Line (x50,359 y141,533 / x249,641 y158,467 / red) 
   Line (x50,359 y158,467 / x249,641 y141,533 / red) 
   Line (x50,449 y140,540 / x249,551 y159,460 / red) 
   Line (x50,449 y159,460 / x249,551 y140,540 / red) 
   Line (x50,657 y138,556 / x249,343 y161,444 / red) 
   Line (x50,657 y161,444 / x249,343 y138,556 / red) 
   Line (x50,776 y137,566 / x249,224 y162,434 / red) 
   Line (x50,776 y162,434 / x249,224 y137,566 / red) 
   Line (x50,905 y136,577 / x249,095 y163,423 / red) 
   Line (x50,905 y163,423 / x249,095 y136,577 / red) 
   Line (x51,044 y135,589 / x248,956 y164,411 / red) 
   Line (x51,044 y164,411 / x248,956 y135,589 / red) 
   Line (x51,192 y134,603 / x248,808 y165,397 / red) 
   Line (x51,192 y165,397 / x248,808 y134,603 / red) 
   Line (x51,351 y133,618 / x248,649 y166,382 / red) 
   Line (x51,351 y166,382 / x248,649 y133,618 / red) 
   Line (x51,697 y131,654 / x248,303 y168,346 / black) 
   Line (x51,697 y168,346 / x248,303 y131,654 / black) 
   Line (x51,885 y130,674 / x248,115 y169,326 / black) 
   Line (x51,885 y169,326 / x248,115 y130,674 / black) 
   Line (x52,083 y129,697 / x247,917 y170,303 / black) 
   Line (x52,083 y170,303 / x247,917 y129,697 / black) 
   Line (x52,290 y128,721 / x247,710 y171,279 / black) 
   Line (x52,290 y171,279 / x247,710 y128,721 / black) 
   Line (x52,507 y127,748 / x247,493 y172,252 / black) 
   Line (x52,507 y172,252 / x247,493 y127,748 / black) 
   Line (x52,734 y126,777 / x247,266 y173,223 / black) 
   Line (x52,734 y173,223 / x247,266 y126,777 / black) 
   Line (x53,217 y124,841 / x246,783 y175,159 / black) 
   Line (x53,217 y175,159 / x246,783 y124,841 / black) 
