  There is only 135 shapes, but 180 shapes were expected
Superflous shapes in your solution:
   Line (x50,007 y148,836 / x249,993 y151,164 / red) 
   Line (x50,007 y151,164 / x249,993 y148,836 / red) 
   Line (x50,169 y144,186 / x249,831 y155,814 / red) 
   Line (x50,169 y155,814 / x249,831 y144,186 / red) 
   Line (x50,332 y141,864 / x249,668 y158,136 / red) 
   Line (x50,332 y158,136 / x249,668 y141,864 / red) 
   Line (x50,818 y137,236 / x249,182 y162,764 / red) 
   Line (x50,818 y162,764 / x249,182 y137,236 / red) 
   Line (x51,142 y134,931 / x248,858 y165,069 / red) 
   Line (x51,142 y165,069 / x248,858 y134,931 / red) 
   Line (x51,950 y130,348 / x248,050 y169,652 / black) 
   Line (x51,950 y169,652 / x248,050 y130,348 / black) 
   Line (x52,434 y128,072 / x247,566 y171,928 / black) 
   Line (x52,434 y171,928 / x247,566 y128,072 / black) 
   Line (x53,560 y123,557 / x246,440 y176,443 / black) 
   Line (x53,560 y176,443 / x246,440 y123,557 / black) 
   Line (x54,201 y121,320 / x245,799 y178,680 / black) 
   Line (x54,201 y178,680 / x245,799 y121,320 / black) 
   Line (x55,639 y116,894 / x244,361 y183,106 / black) 
   Line (x55,639 y183,106 / x244,361 y116,894 / black) 
   Line (x56,435 y114,707 / x243,565 y185,293 / black) 
   Line (x56,435 y185,293 / x243,565 y114,707 / black) 
   Line (x58,178 y110,392 / x241,822 y189,608 / black) 
   Line (x58,178 y189,608 / x241,822 y110,392 / black) 
   Line (x59,125 y108,266 / x240,875 y191,734 / black) 
   Line (x59,125 y191,734 / x240,875 y108,266 / black) 
   Line (x61,165 y104,083 / x238,835 y195,917 / black) 
   Line (x61,165 y195,917 / x238,835 y104,083 / black) 
   Line (x62,257 y102,029 / x237,743 y197,971 / black) 
   Line (x62,257 y197,971 / x237,743 y102,029 / black) 
   Line (x64,584 y97,998 / x235,416 y202,002 / red) 
   Line (x64,584 y202,002 / x235,416 y97,998 / red) 
   Line (x65,818 y96,025 / x234,182 y203,975 / red) 
   Line (x65,818 y203,975 / x234,182 y96,025 / red) 
   Line (x68,420 y92,167 / x231,580 y207,833 / red) 
   Line (x68,420 y207,833 / x231,580 y92,167 / red) 
   Line (x69,788 y90,284 / x230,212 y209,716 / red) 
   Line (x69,788 y209,716 / x230,212 y90,284 / red) 
   Line (x72,653 y86,617 / x227,347 y213,383 / red) 
   Line (x72,653 y213,383 / x227,347 y86,617 / red) 
   Line (x74,149 y84,834 / x225,851 y215,166 / red) 
   Line (x74,149 y215,166 / x225,851 y84,834 / red) 
   Line (x77,263 y81,376 / x222,737 y218,624 / red) 
   Line (x77,263 y218,624 / x222,737 y81,376 / red) 
   Line (x78,879 y79,702 / x221,121 y220,298 / red) 
   Line (x78,879 y220,298 / x221,121 y79,702 / red) 
   Line (x82,227 y76,469 / x217,773 y223,531 / red) 
   Line (x82,227 y223,531 / x217,773 y76,469 / red) 
   Line (x83,956 y74,912 / x216,044 y225,088 / red) 
   Line (x83,956 y225,088 / x216,044 y74,912 / red) 
   Line (x87,521 y71,921 / x212,479 y228,079 / black) 
   Line (x87,521 y228,079 / x212,479 y71,921 / black) 
   Line (x89,355 y70,488 / x210,645 y229,512 / black) 
   Line (x89,355 y229,512 / x210,645 y70,488 / black) 
   Line (x93,120 y67,752 / x206,880 y232,248 / black) 
   Line (x93,120 y232,248 / x206,880 y67,752 / black) 
   Line (x95,049 y66,451 / x204,951 y233,549 / black) 
   Line (x95,049 y233,549 / x204,951 y66,451 / black) 
   Line (x98,996 y63,985 / x201,004 y236,015 / black) 
   Line (x98,996 y236,015 / x201,004 y63,985 / black) 
   Line (x101,011 y62,822 / x198,989 y237,178 / black) 
   Line (x101,011 y237,178 / x198,989 y62,822 / black) 
   Line (x105,120 y60,637 / x194,880 y239,363 / black) 
   Line (x105,120 y239,363 / x194,880 y60,637 / black) 
   Line (x107,212 y59,617 / x192,788 y240,383 / black) 
   Line (x107,212 y240,383 / x192,788 y59,617 / black) 
   Line (x111,463 y57,724 / x188,537 y242,276 / black) 
   Line (x111,463 y242,276 / x188,537 y57,724 / black) 
   Line (x113,621 y56,852 / x186,379 y243,148 / black) 
   Line (x113,621 y243,148 / x186,379 y56,852 / black) 
   Line (x117,994 y55,260 / x182,006 y244,740 / red) 
   Line (x117,994 y244,740 / x182,006 y55,260 / red) 
   Line (x120,207 y54,541 / x179,793 y245,459 / red) 
   Line (x120,207 y245,459 / x179,793 y54,541 / red) 
   Line (x124,680 y53,258 / x175,320 y246,742 / red) 
   Line (x124,680 y246,742 / x175,320 y53,258 / red) 
   Line (x126,938 y52,696 / x173,062 y247,304 / red) 
   Line (x126,938 y247,304 / x173,062 y52,696 / red) 
   Line (x131,491 y51,728 / x168,509 y248,272 / red) 
   Line (x131,491 y248,272 / x168,509 y51,728 / red) 
   Line (x133,782 y51,324 / x166,218 y248,676 / red) 
   Line (x133,782 y248,676 / x166,218 y51,324 / red) 
   Line (x138,391 y50,676 / x161,609 y249,324 / red) 
   Line (x138,391 y249,324 / x161,609 y50,676 / red) 
   Line (x140,705 y50,433 / x159,295 y249,567 / red) 
   Line (x140,705 y249,567 / x159,295 y50,433 / red) 
   Line (x145,347 y50,108 / x154,653 y249,892 / red) 
   Line (x145,347 y249,892 / x154,653 y50,108 / red) 
   Line (x147,673 y50,027 / x152,327 y249,973 / red) 
   Line (x147,673 y249,973 / x152,327 y50,027 / red) 
Missing shapes in your solution:
   Line (x50,000 y150,000 / x250,000 y150,000 / red) 
   Line (x50,015 y148,255 / x249,985 y151,745 / red) 
