  There is 325 shapes, but only 180 shapes were expected
Superflous shapes in your solution:
   Line (x50,009 y148,657 / x249,975 y152,237 / red) 
   Line (x50,025 y152,237 / x249,951 y146,868 / red) 
   Line (x50,049 y146,868 / x249,919 y154,027 / red) 
   Line (x50,121 y154,921 / x249,831 y144,186 / red) 
   Line (x50,169 y144,186 / x249,775 y156,708 / red) 
   Line (x50,289 y157,601 / x249,639 y141,507 / red) 
   Line (x50,361 y141,507 / x249,559 y159,384 / red) 
   Line (x50,529 y160,275 / x249,375 y138,835 / red) 
   Line (x50,625 y138,835 / x249,271 y162,054 / red) 
   Line (x50,729 y162,054 / x249,159 y137,058 / red) 
   Line (x50,961 y136,171 / x248,911 y164,715 / red) 
   Line (x51,089 y164,715 / x248,776 y134,401 / red) 
   Line (x51,679 y168,246 / x248,154 y130,875 / black) 
   Line (x51,846 y130,875 / x247,979 y170,003 / black) 
   Line (x52,204 y170,879 / x247,605 y128,247 / black) 
   Line (x52,800 y126,503 / x246,986 y174,366 / black) 
   Line (x53,014 y174,366 / x246,764 y124,767 / black) 
   Line (x54,201 y121,320 / x245,538 y179,537 / black) 
   Line (x54,201 y178,680 / x245,538 y120,463 / black) 
   Line (x54,730 y119,609 / x244,994 y181,242 / black) 
   Line (x54,730 y180,391 / x244,994 y118,758 / black) 
   Line (x55,289 y117,909 / x244,711 y182,091 / black) 
   Line (x55,289 y182,091 / x244,711 y117,909 / black) 
   Line (x55,580 y117,063 / x244,420 y182,937 / black) 
   Line (x55,580 y182,937 / x244,420 y117,063 / black) 
   Line (x55,879 y116,219 / x244,121 y183,781 / black) 
   Line (x55,879 y183,781 / x244,121 y116,219 / black) 
   Line (x56,185 y115,378 / x243,815 y184,622 / black) 
   Line (x56,185 y184,622 / x243,815 y115,378 / black) 
   Line (x56,498 y114,540 / x243,502 y185,460 / black) 
   Line (x56,498 y185,460 / x243,502 y114,540 / black) 
   Line (x56,820 y113,704 / x243,180 y186,296 / black) 
   Line (x56,820 y186,296 / x243,180 y113,704 / black) 
   Line (x57,148 y112,872 / x242,852 y187,128 / black) 
   Line (x57,148 y187,128 / x242,852 y112,872 / black) 
   Line (x57,484 y112,042 / x242,516 y187,958 / black) 
   Line (x57,484 y187,958 / x242,516 y112,042 / black) 
   Line (x57,828 y111,215 / x242,172 y188,785 / black) 
   Line (x57,828 y188,785 / x242,172 y111,215 / black) 
   Line (x58,178 y110,392 / x241,822 y189,608 / black) 
   Line (x58,178 y189,608 / x241,822 y110,392 / black) 
   Line (x58,537 y109,572 / x241,463 y190,428 / black) 
   Line (x58,537 y190,428 / x241,463 y109,572 / black) 
   Line (x58,902 y108,755 / x241,098 y191,245 / black) 
   Line (x58,902 y191,245 / x241,098 y108,755 / black) 
   Line (x59,275 y107,941 / x240,725 y192,059 / black) 
   Line (x59,275 y192,059 / x240,725 y107,941 / black) 
   Line (x59,655 y107,131 / x240,345 y192,869 / black) 
   Line (x59,655 y192,869 / x240,345 y107,131 / black) 
   Line (x60,042 y106,324 / x239,958 y193,676 / black) 
   Line (x60,042 y193,676 / x239,958 y106,324 / black) 
   Line (x60,437 y105,520 / x239,563 y194,480 / black) 
   Line (x60,437 y194,480 / x239,563 y105,520 / black) 
   Line (x60,838 y104,721 / x239,162 y195,279 / black) 
   Line (x60,838 y195,279 / x239,162 y104,721 / black) 
   Line (x61,247 y103,924 / x238,753 y196,076 / black) 
   Line (x61,247 y196,076 / x238,753 y103,924 / black) 
   Line (x61,663 y103,132 / x238,337 y196,868 / black) 
   Line (x61,663 y196,868 / x238,337 y103,132 / black) 
   Line (x62,086 y102,343 / x237,914 y197,657 / black) 
   Line (x62,086 y197,657 / x237,914 y102,343 / black) 
   Line (x62,516 y101,558 / x237,484 y198,442 / black) 
   Line (x62,516 y198,442 / x237,484 y101,558 / black) 
   Line (x62,953 y100,777 / x237,047 y199,223 / black) 
   Line (x62,953 y199,223 / x237,047 y100,777 / black) 
   Line (x63,848 y99,227 / x236,152 y200,773 / red) 
   Line (x63,848 y200,773 / x236,152 y99,227 / red) 
   Line (x64,306 y98,458 / x235,694 y201,542 / red) 
   Line (x64,306 y201,542 / x235,694 y98,458 / red) 
   Line (x64,771 y97,693 / x235,229 y202,307 / red) 
   Line (x64,771 y202,307 / x235,229 y97,693 / red) 
   Line (x65,243 y96,932 / x234,757 y203,068 / red) 
   Line (x65,243 y203,068 / x234,757 y96,932 / red) 
   Line (x65,721 y96,176 / x234,279 y203,824 / red) 
   Line (x65,721 y203,824 / x234,279 y96,176 / red) 
   Line (x66,206 y95,424 / x233,794 y204,576 / red) 
   Line (x66,206 y204,576 / x233,794 y95,424 / red) 
   Line (x66,698 y94,676 / x233,302 y205,324 / red) 
   Line (x66,698 y205,324 / x233,302 y94,676 / red) 
