  There is 270 shapes, but only 180 shapes were expected
Superflous shapes in your solution:
   Line (x50,007 y148,836 / x249,993 y151,164 / red) 
   Line (x50,007 y151,164 / x249,993 y148,836 / red) 
   Line (x50,027 y147,673 / x249,973 y152,327 / red) 
   Line (x50,027 y152,327 / x249,973 y147,673 / red) 
   Line (x50,108 y145,347 / x249,892 y154,653 / red) 
   Line (x50,108 y154,653 / x249,892 y145,347 / red) 
   Line (x50,169 y144,186 / x249,831 y155,814 / red) 
   Line (x50,169 y155,814 / x249,831 y144,186 / red) 
   Line (x50,332 y141,864 / x249,668 y158,136 / red) 
   Line (x50,332 y158,136 / x249,668 y141,864 / red) 
   Line (x50,433 y140,705 / x249,567 y159,295 / red) 
   Line (x50,433 y159,295 / x249,567 y140,705 / red) 
   Line (x50,676 y138,391 / x249,324 y161,609 / red) 
   Line (x50,676 y161,609 / x249,324 y138,391 / red) 
   Line (x50,818 y137,236 / x249,182 y162,764 / red) 
   Line (x50,818 y162,764 / x249,182 y137,236 / red) 
   Line (x51,142 y134,931 / x248,858 y165,069 / red) 
   Line (x51,142 y165,069 / x248,858 y134,931 / red) 
   Line (x51,324 y133,782 / x248,676 y166,218 / red) 
   Line (x51,324 y166,218 / x248,676 y133,782 / red) 
   Line (x51,728 y131,491 / x248,272 y168,509 / black) 
   Line (x51,728 y168,509 / x248,272 y131,491 / black) 
   Line (x51,950 y130,348 / x248,050 y169,652 / black) 
   Line (x51,950 y169,652 / x248,050 y130,348 / black) 
   Line (x52,434 y128,072 / x247,566 y171,928 / black) 
   Line (x52,434 y171,928 / x247,566 y128,072 / black) 
   Line (x52,696 y126,938 / x247,304 y173,062 / black) 
   Line (x52,696 y173,062 / x247,304 y126,938 / black) 
   Line (x53,258 y124,680 / x246,742 y175,320 / black) 
   Line (x53,258 y175,320 / x246,742 y124,680 / black) 
   Line (x53,560 y123,557 / x246,440 y176,443 / black) 
   Line (x53,560 y176,443 / x246,440 y123,557 / black) 
   Line (x54,201 y121,320 / x245,799 y178,680 / black) 
   Line (x54,201 y178,680 / x245,799 y121,320 / black) 
   Line (x54,541 y120,207 / x245,459 y179,793 / black) 
   Line (x54,541 y179,793 / x245,459 y120,207 / black) 
   Line (x55,260 y117,994 / x244,740 y182,006 / black) 
   Line (x55,260 y182,006 / x244,740 y117,994 / black) 
   Line (x55,639 y116,894 / x244,361 y183,106 / black) 
   Line (x55,639 y183,106 / x244,361 y116,894 / black) 
   Line (x56,435 y114,707 / x243,565 y185,293 / black) 
   Line (x56,435 y185,293 / x243,565 y114,707 / black) 
   Line (x56,852 y113,621 / x243,148 y186,379 / black) 
   Line (x56,852 y186,379 / x243,148 y113,621 / black) 
   Line (x57,724 y111,463 / x242,276 y188,537 / black) 
   Line (x57,724 y188,537 / x242,276 y111,463 / black) 
   Line (x58,178 y110,392 / x241,822 y189,608 / black) 
   Line (x58,178 y189,608 / x241,822 y110,392 / black) 
   Line (x59,125 y108,266 / x240,875 y191,734 / black) 
   Line (x59,125 y191,734 / x240,875 y108,266 / black) 
   Line (x59,617 y107,212 / x240,383 y192,788 / black) 
   Line (x59,617 y192,788 / x240,383 y107,212 / black) 
   Line (x60,637 y105,120 / x239,363 y194,880 / black) 
   Line (x60,637 y194,880 / x239,363 y105,120 / black) 
   Line (x61,165 y104,083 / x238,835 y195,917 / black) 
   Line (x61,165 y195,917 / x238,835 y104,083 / black) 
   Line (x62,257 y102,029 / x237,743 y197,971 / black) 
   Line (x62,257 y197,971 / x237,743 y102,029 / black) 
   Line (x62,822 y101,011 / x237,178 y198,989 / black) 
   Line (x62,822 y198,989 / x237,178 y101,011 / black) 
   Line (x63,985 y98,996 / x236,015 y201,004 / red) 
   Line (x63,985 y201,004 / x236,015 y98,996 / red) 
   Line (x64,584 y97,998 / x235,416 y202,002 / red) 
   Line (x64,584 y202,002 / x235,416 y97,998 / red) 
   Line (x65,818 y96,025 / x234,182 y203,975 / red) 
   Line (x65,818 y203,975 / x234,182 y96,025 / red) 
   Line (x66,451 y95,049 / x233,549 y204,951 / red) 
   Line (x66,451 y204,951 / x233,549 y95,049 / red) 
   Line (x67,752 y93,120 / x232,248 y206,880 / red) 
   Line (x67,752 y206,880 / x232,248 y93,120 / red) 
   Line (x68,420 y92,167 / x231,580 y207,833 / red) 
   Line (x68,420 y207,833 / x231,580 y92,167 / red) 
   Line (x69,788 y90,284 / x230,212 y209,716 / red) 
   Line (x69,788 y209,716 / x230,212 y90,284 / red) 
   Line (x70,488 y89,355 / x229,512 y210,645 / red) 
   Line (x70,488 y210,645 / x229,512 y89,355 / red) 
