The turtle Hawksbill is not heading to the right direction.  There is 51 shapes, but only 44 shapes were expected
Superflous shapes in your solution:
   Line (x0,000 y299,645 / x0,355 y300,000 / black) 
   Line (x0,000 y257,322 / x7,678 y257,322 / black) 
   Line (x0,355 y0,000 / x0,355 y0,000 / black) 
   Line (x7,678 y232,322 / x7,678 y257,322 / black) 
   Line (x7,678 y257,322 / x25,355 y275,000 / black) 
   Line (x107,678 y107,322 / x157,678 y107,322 / black) 
   Line (x132,678 y132,322 / x150,355 y150,000 / black) 
   Line (x157,678 y82,322 / x157,678 y107,322 / black) 
   Line (x157,678 y107,322 / x175,355 y125,000 / black) 
   Line (x157,678 y82,322 / x182,678 y82,322 / black) 
   Line (x182,678 y57,322 / x182,678 y82,322 / black) 
   Line (x182,678 y82,322 / x200,355 y100,000 / black) 
   Line (x182,678 y57,322 / x207,678 y57,322 / black) 
   Line (x207,678 y32,322 / x207,678 y57,322 / black) 
   Line (x207,678 y57,322 / x225,355 y75,000 / black) 
   Line (x207,678 y32,322 / x232,678 y32,322 / black) 
   Line (x232,678 y7,322 / x232,678 y32,322 / black) 
   Line (x232,678 y32,322 / x250,355 y50,000 / black) 
   Line (x232,678 y7,322 / x257,678 y7,322 / black) 
   Line (x257,678 y0,000 / x257,678 y7,322 / black) 
   Line (x257,678 y282,322 / x257,678 y300,000 / black) 
   Line (x257,678 y7,322 / x275,355 y25,000 / black) 
   Line (x257,678 y282,322 / x282,678 y282,322 / black) 
   Line (x282,678 y257,322 / x282,678 y282,322 / black) 
   Line (x282,678 y257,322 / x300,000 y257,322 / black) 
   Line (x282,678 y282,322 / x300,000 y299,645 / black) 
Missing shapes in your solution:
   Line (x107,678 y132,322 / x125,355 y150,000 / black) 
   Line (x107,678 y167,678 / x125,355 y150,000 / black) 
   Line (x107,678 y107,322 / x132,678 y107,322 / black) 
   Line (x107,678 y167,678 / x132,678 y167,678 / black) 
   Line (x125,355 y150,000 / x175,355 y150,000 / black) 
   Line (x132,678 y167,678 / x132,678 y192,678 / black) 
   Line (x132,678 y107,322 / x150,355 y125,000 / black) 
   Line (x132,678 y192,678 / x150,355 y175,000 / black) 
   Line (x132,678 y132,322 / x168,033 y167,678 / black) 
   Line (x132,678 y167,678 / x168,033 y132,322 / black) 
   Line (x150,355 y125,000 / x150,355 y175,000 / black) 
   Line (x150,355 y125,000 / x168,033 y107,322 / black) 
   Line (x150,355 y175,000 / x168,033 y192,678 / black) 
   Line (x168,033 y107,322 / x168,033 y132,322 / black) 
   Line (x168,033 y167,678 / x168,033 y192,678 / black) 
   Line (x168,033 y132,322 / x193,033 y132,322 / black) 
   Line (x168,033 y167,678 / x193,033 y167,678 / black) 
   Line (x175,355 y150,000 / x193,033 y132,322 / black) 
   Line (x175,355 y150,000 / x193,033 y167,678 / black) 

