The turtle Hawksbill is not heading to the right direction.  x1 differs. (got Line (x89,645 y150,000 / x107,322 y132,322 / black)  instead of Line (x90,000 y125,000 / x90,000 y175,000 / black) )
  x1 differs. (got Line (x89,645 y150,000 / x107,322 y167,678 / black)  instead of Line (x90,000 y150,000 / x107,678 y132,322 / black) )
  x2 differs. (got Line (x90,000 y125,000 / x90,000 y175,000 / black)  instead of Line (x90,000 y150,000 / x107,678 y167,678 / black) )
  x1 differs. (got Line (x107,322 y107,322 / x107,322 y132,322 / black)  instead of Line (x107,678 y107,322 / x107,678 y132,322 / black) )
  x1 differs. (got Line (x107,322 y167,678 / x107,322 y192,678 / black)  instead of Line (x107,678 y167,678 / x107,678 y192,678 / black) )
  x1 differs. (got Line (x107,322 y132,322 / x125,000 y150,000 / black)  instead of Line (x107,678 y132,322 / x125,355 y150,000 / black) )
  x1 differs. (got Line (x107,322 y167,678 / x125,000 y150,000 / black)  instead of Line (x107,678 y167,678 / x125,355 y150,000 / black) )
  x1 differs. (got Line (x107,322 y107,322 / x132,322 y107,322 / black)  instead of Line (x107,678 y107,322 / x132,678 y107,322 / black) )
  x1 differs. (got Line (x107,322 y132,322 / x132,322 y132,322 / black)  instead of Line (x107,678 y132,322 / x132,678 y132,322 / black) )
  x1 differs. (got Line (x107,322 y167,678 / x132,322 y167,678 / black)  instead of Line (x107,678 y167,678 / x132,678 y167,678 / black) )
  x1 differs. (got Line (x107,322 y192,678 / x132,322 y192,678 / black)  instead of Line (x107,678 y192,678 / x132,678 y192,678 / black) )
  x1 differs. (got Line (x125,000 y150,000 / x175,000 y150,000 / black)  instead of Line (x125,355 y89,645 / x175,355 y89,645 / black) )
  y1 differs. (got Line (x125,355 y89,645 / x175,355 y89,645 / black)  instead of Line (x125,355 y150,000 / x175,355 y150,000 / black) )
  x1 differs. (got Line (x132,322 y107,322 / x132,322 y132,322 / black)  instead of Line (x132,678 y107,322 / x132,678 y132,322 / black) )
  x1 differs. (got Line (x132,322 y167,678 / x132,322 y192,678 / black)  instead of Line (x132,678 y167,678 / x132,678 y192,678 / black) )
  x1 differs. (got Line (x132,322 y107,322 / x150,000 y89,645 / black)  instead of Line (x132,678 y107,322 / x150,355 y89,645 / black) )
  x1 differs. (got Line (x132,322 y107,322 / x150,000 y125,000 / black)  instead of Line (x132,678 y107,322 / x150,355 y125,000 / black) )
  x1 differs. (got Line (x132,322 y192,678 / x150,000 y175,000 / black)  instead of Line (x132,678 y192,678 / x150,355 y175,000 / black) )
  x1 differs. (got Line (x132,322 y192,678 / x150,000 y210,355 / black)  instead of Line (x132,678 y192,678 / x150,355 y210,355 / black) )
  x1 differs. (got Line (x132,322 y132,322 / x167,678 y167,678 / black)  instead of Line (x132,678 y132,322 / x168,033 y167,678 / black) )
  x1 differs. (got Line (x132,322 y167,678 / x167,678 y132,322 / black)  instead of Line (x132,678 y167,678 / x168,033 y132,322 / black) )
  x1 differs. (got Line (x150,000 y125,000 / x150,000 y175,000 / black)  instead of Line (x150,355 y125,000 / x150,355 y175,000 / black) )
  x1 differs. (got Line (x150,000 y89,645 / x167,678 y107,322 / black)  instead of Line (x150,355 y89,645 / x168,033 y107,322 / black) )
  x1 differs. (got Line (x150,000 y125,000 / x167,678 y107,322 / black)  instead of Line (x150,355 y125,000 / x168,033 y107,322 / black) )
  x1 differs. (got Line (x150,000 y175,000 / x167,678 y192,678 / black)  instead of Line (x150,355 y175,000 / x168,033 y192,678 / black) )
  x1 differs. (got Line (x150,000 y210,355 / x167,678 y192,678 / black)  instead of Line (x150,355 y210,355 / x168,033 y192,678 / black) )
  x1 differs. (got Line (x167,678 y107,322 / x167,678 y132,322 / black)  instead of Line (x168,033 y107,322 / x168,033 y132,322 / black) )
  x1 differs. (got Line (x167,678 y167,678 / x167,678 y192,678 / black)  instead of Line (x168,033 y167,678 / x168,033 y192,678 / black) )
  x1 differs. (got Line (x167,678 y107,322 / x192,678 y107,322 / black)  instead of Line (x168,033 y107,322 / x193,033 y107,322 / black) )
  x1 differs. (got Line (x167,678 y132,322 / x192,678 y132,322 / black)  instead of Line (x168,033 y132,322 / x193,033 y132,322 / black) )
  x1 differs. (got Line (x167,678 y167,678 / x192,678 y167,678 / black)  instead of Line (x168,033 y167,678 / x193,033 y167,678 / black) )
  x1 differs. (got Line (x167,678 y192,678 / x192,678 y192,678 / black)  instead of Line (x168,033 y192,678 / x193,033 y192,678 / black) )
  x1 differs. (got Line (x175,000 y150,000 / x192,678 y132,322 / black)  instead of Line (x175,355 y150,000 / x193,033 y132,322 / black) )
  x1 differs. (got Line (x175,000 y150,000 / x192,678 y167,678 / black)  instead of Line (x175,355 y150,000 / x193,033 y167,678 / black) )
  x1 differs. (got Line (x192,678 y107,322 / x192,678 y132,322 / black)  instead of Line (x193,033 y107,322 / x193,033 y132,322 / black) )
  x1 differs. (got Line (x192,678 y167,678 / x192,678 y192,678 / black)  instead of Line (x193,033 y167,678 / x193,033 y192,678 / black) )
  x1 differs. (got Line (x192,678 y132,322 / x210,355 y150,000 / black)  instead of Line (x193,033 y132,322 / x210,711 y150,000 / black) )
  x1 differs. (got Line (x192,678 y167,678 / x210,355 y150,000 / black)  instead of Line (x193,033 y167,678 / x210,711 y150,000 / black) )

