  There is 561 shapes, but only 284 shapes were expected
Superflous shapes in your solution:
   Line (x0,000 y49,157 / x0,473 y48,578 / black) 
   Line (x0,000 y246,843 / x0,473 y247,422 / black) 
   Line (x0,000 y134,187 / x0,553 y134,092 / black) 
   Line (x0,000 y161,813 / x0,553 y161,908 / black) 
   Line (x0,473 y48,578 / x1,728 y47,021 / black) 
   Line (x0,473 y247,422 / x1,728 y248,979 / black) 
   Line (x0,553 y134,092 / x6,479 y133,153 / black) 
   Line (x0,553 y161,908 / x6,479 y162,847 / black) 
   Line (x1,728 y47,021 / x2,974 y45,456 / black) 
   Line (x1,728 y248,979 / x2,974 y250,544 / black) 
   Line (x2,974 y45,456 / x4,209 y43,884 / black) 
   Line (x2,974 y250,544 / x4,209 y252,116 / black) 
   Line (x4,209 y43,884 / x5,435 y42,304 / black) 
   Line (x4,209 y252,116 / x5,435 y253,696 / black) 
   Line (x5,435 y42,304 / x6,651 y40,716 / black) 
   Line (x5,435 y253,696 / x6,651 y255,284 / black) 
   Line (x6,479 y133,153 / x12,422 y132,326 / black) 
   Line (x6,479 y162,847 / x12,422 y163,674 / black) 
   Line (x6,651 y40,716 / x7,857 y39,120 / black) 
   Line (x6,651 y255,284 / x7,857 y256,880 / black) 
   Line (x7,857 y39,120 / x9,053 y37,517 / black) 
   Line (x7,857 y256,880 / x9,053 y258,483 / black) 
   Line (x9,053 y37,517 / x10,238 y35,906 / black) 
   Line (x9,053 y258,483 / x10,238 y260,094 / black) 
   Line (x10,238 y35,906 / x11,414 y34,288 / black) 
   Line (x10,238 y260,094 / x11,414 y261,712 / black) 
   Line (x11,414 y34,288 / x12,579 y32,663 / black) 
   Line (x11,414 y261,712 / x12,579 y263,337 / black) 
   Line (x12,422 y132,326 / x18,379 y131,612 / black) 
   Line (x12,422 y163,674 / x18,379 y164,388 / black) 
   Line (x12,579 y32,663 / x13,734 y31,030 / black) 
   Line (x12,579 y263,337 / x13,734 y264,970 / black) 
   Line (x13,734 y31,030 / x14,879 y29,390 / black) 
   Line (x13,734 y264,970 / x14,879 y266,610 / black) 
   Line (x14,879 y29,390 / x16,014 y27,743 / black) 
   Line (x14,879 y266,610 / x16,014 y268,257 / black) 
   Line (x16,014 y27,743 / x17,138 y26,089 / black) 
   Line (x16,014 y268,257 / x17,138 y269,911 / black) 
   Line (x17,138 y26,089 / x18,252 y24,428 / black) 
   Line (x17,138 y269,911 / x18,252 y271,572 / black) 
   Line (x18,252 y24,428 / x19,355 y22,760 / black) 
   Line (x18,252 y271,572 / x19,355 y273,240 / black) 
   Line (x18,379 y131,612 / x24,349 y131,010 / black) 
   Line (x18,379 y164,388 / x24,349 y164,990 / black) 
   Line (x19,355 y22,760 / x20,448 y21,085 / black) 
   Line (x19,355 y273,240 / x20,448 y274,915 / black) 
