  In (1,0), the ground is expected to be pink, but it is light grey.
  In (1,1), the ground is expected to be red, but it is light grey.
  In (1,5), the ground is expected to be orange, but it is white.
  In (2,2), the ground is expected to be red, but it is pink.
  In (2,5), the ground is expected to be magenta, but it is white.
  In (3,3), the ground is expected to be red, but it is pink.
  In (3,5), the ground is expected to be green, but it is white.
  In (4,4), the ground is expected to be red, but it is pink.
  In (4,5), the ground is expected to be cyan, but it is white.
  In (5,5), the ground is expected to be red, but it is white.

  In (1,0), the ground is expected to be cyan, but it is light grey.
  In (1,1), the ground is expected to be pink, but it is light grey.
  In (1,6), the ground is expected to be green, but it is white.
  In (2,2), the ground is expected to be pink, but it is cyan.
  In (2,6), the ground is expected to be magenta, but it is white.
  In (3,3), the ground is expected to be pink, but it is cyan.
  In (3,6), the ground is expected to be orange, but it is white.
  In (4,4), the ground is expected to be pink, but it is cyan.
  In (4,6), the ground is expected to be red, but it is white.
  In (5,5), the ground is expected to be pink, but it is cyan.
  In (5,6), the ground is expected to be yellow, but it is white.
  In (6,6), the ground is expected to be pink, but it is white.

  In (1,0), the ground is expected to be cyan, but it is light grey.
  In (1,1), the ground is expected to be red, but it is light grey.
  In (1,7), the ground is expected to be magenta, but it is white.
  In (2,2), the ground is expected to be red, but it is cyan.
  In (2,7), the ground is expected to be pink, but it is white.
  In (3,3), the ground is expected to be red, but it is cyan.
  In (3,7), the ground is expected to be black, but it is white.
  In (4,4), the ground is expected to be red, but it is cyan.
  In (4,7), the ground is expected to be yellow, but it is white.
  In (5,5), the ground is expected to be red, but it is cyan.
  In (5,7), the ground is expected to be orange, but it is white.
  In (6,6), the ground is expected to be red, but it is cyan.
  In (6,7), the ground is expected to be green, but it is white.
  In (7,7), the ground is expected to be red, but it is white.

