  In (1,0), the ground is expected to be cyan, but it is white.
  In (1,5), the ground is expected to be red, but it is pink.
  In (2,0), the ground is expected to be green, but it is white.
  In (2,4), the ground is expected to be red, but it is pink.
  In (3,0), the ground is expected to be magenta, but it is white.
  In (3,3), the ground is expected to be red, but it is pink.
  In (4,0), the ground is expected to be orange, but it is white.
  In (4,2), the ground is expected to be red, but it is pink.
  In (5,0), the ground is expected to be pink, but it is white.
  In (5,1), the ground is expected to be red, but it is magenta.

  In (1,0), the ground is expected to be yellow, but it is white.
  In (1,6), the ground is expected to be pink, but it is cyan.
  In (2,0), the ground is expected to be red, but it is white.
  In (2,5), the ground is expected to be pink, but it is cyan.
  In (3,0), the ground is expected to be orange, but it is white.
  In (3,4), the ground is expected to be pink, but it is cyan.
  In (4,0), the ground is expected to be orange, but it is white.
  In (4,4), the ground is expected to be pink, but it is cyan.
  In (5,0), the ground is expected to be red, but it is white.
  In (5,5), the ground is expected to be pink, but it is cyan.
  In (6,0), the ground is expected to be yellow, but it is white.
  In (6,6), the ground is expected to be pink, but it is cyan.

  In (1,0), the ground is expected to be cyan, but it is white.
  In (1,1), the ground is expected to be red, but it is light grey.
  In (2,0), the ground is expected to be magenta, but it is white.
  In (2,2), the ground is expected to be red, but it is cyan.
  In (3,0), the ground is expected to be pink, but it is white.
  In (3,3), the ground is expected to be red, but it is cyan.
  In (4,0), the ground is expected to be black, but it is white.
  In (4,4), the ground is expected to be red, but it is cyan.
  In (5,0), the ground is expected to be pink, but it is white.
  In (5,3), the ground is expected to be red, but it is cyan.
  In (6,0), the ground is expected to be magenta, but it is white.
  In (6,2), the ground is expected to be red, but it is cyan.
  In (7,0), the ground is expected to be cyan, but it is white.
  In (7,1), the ground is expected to be red, but it is pink.

