  In (1,0), the ground is expected to be cyan, but it is green.
  In (2,0), the ground is expected to be green, but it is magenta.
  In (3,0), the ground is expected to be magenta, but it is orange.
  In (4,0), the ground is expected to be orange, but it is pink.
  In (5,0), the ground is expected to be pink, but it is red.

  In (1,0), the ground is expected to be yellow, but it is red.
  In (2,0), the ground is expected to be red, but it is orange.
  In (3,0), the ground is expected to be orange, but it is magenta.
  In (4,0), the ground is expected to be orange, but it is magenta.
  In (5,0), the ground is expected to be red, but it is orange.
  In (6,0), the ground is expected to be yellow, but it is red.

  In (1,0), the ground is expected to be cyan, but it is red.
  In (2,0), the ground is expected to be magenta, but it is cyan.
  In (3,0), the ground is expected to be pink, but it is magenta.
  In (4,0), the ground is expected to be black, but it is pink.
  In (5,0), the ground is expected to be pink, but it is magenta.
  In (6,0), the ground is expected to be magenta, but it is cyan.
  In (7,0), the ground is expected to be cyan, but it is red.

