  In (1,0), the ground is expected to be cyan, but it is magenta.
  In (2,0), the ground is expected to be green, but it is pink.
  In (3,0), the ground is expected to be magenta, but it is cyan.
  In (4,0), the ground is expected to be orange, but it is magenta.

  In (1,0), the ground is expected to be yellow, but it is orange.
  In (2,0), the ground is expected to be red, but it is green.
  In (3,0), the ground is expected to be orange, but it is pink.
  In (4,0), the ground is expected to be orange, but it is yellow.
  In (5,0), the ground is expected to be red, but it is yellow.

  In (1,0), the ground is expected to be cyan, but it is green.
  In (2,0), the ground is expected to be magenta, but it is green.
  In (3,0), the ground is expected to be pink, but it is green.
  In (4,0), the ground is expected to be black, but it is green.
  In (5,0), the ground is expected to be pink, but it is yellow.
  In (6,0), the ground is expected to be magenta, but it is pink.

