  In (1,4), the ground is expected to be pink, but it is orange.
  In (2,3), the ground is expected to be pink, but it is orange.
  In (3,2), the ground is expected to be pink, but it is orange.
  In (4,1), the ground is expected to be pink, but it is orange.
  In (5,0), the ground is expected to be pink, but it is magenta.

  In (1,5), the ground is expected to be cyan, but it is green.
  In (2,4), the ground is expected to be cyan, but it is green.
  In (3,3), the ground is expected to be cyan, but it is green.
  In (4,3), the ground is expected to be cyan, but it is green.
  In (5,4), the ground is expected to be cyan, but it is green.
  In (6,5), the ground is expected to be cyan, but it is green.

  In (1,0), the ground is expected to be cyan, but it is light grey.
  In (2,1), the ground is expected to be cyan, but it is magenta.
  In (3,2), the ground is expected to be cyan, but it is magenta.
  In (4,3), the ground is expected to be cyan, but it is magenta.
  In (5,2), the ground is expected to be cyan, but it is magenta.
  In (6,1), the ground is expected to be cyan, but it is magenta.
  In (7,0), the ground is expected to be cyan, but it is pink.

