  In (5,0), the ground is expected to be pink, but it is white.
  In (5,1), the ground is expected to be red, but it is white.
  In (5,2), the ground is expected to be cyan, but it is white.
  In (5,3), the ground is expected to be green, but it is white.
  In (5,4), the ground is expected to be magenta, but it is white.
  In (5,5), the ground is expected to be orange, but it is white.

  In (6,0), the ground is expected to be yellow, but it is white.
  In (6,1), the ground is expected to be red, but it is white.
  In (6,2), the ground is expected to be orange, but it is white.
  In (6,3), the ground is expected to be magenta, but it is white.
  In (6,4), the ground is expected to be green, but it is white.
  In (6,5), the ground is expected to be cyan, but it is white.
  In (6,6), the ground is expected to be pink, but it is white.

  In (7,0), the ground is expected to be cyan, but it is white.
  In (7,1), the ground is expected to be red, but it is white.
  In (7,2), the ground is expected to be green, but it is white.
  In (7,3), the ground is expected to be orange, but it is white.
  In (7,4), the ground is expected to be yellow, but it is white.
  In (7,5), the ground is expected to be black, but it is white.
  In (7,6), the ground is expected to be pink, but it is white.
  In (7,7), the ground is expected to be magenta, but it is white.

