  In (0,1), the ground is expected to be white, but it is blue.
  In (0,2), the ground is expected to be white, but it is blue.
  In (0,3), the ground is expected to be white, but it is blue.
  In (0,4), the ground is expected to be white, but it is blue.
  In (0,5), the ground is expected to be white, but it is blue.
  In (0,6), the ground is expected to be white, but it is blue.
  In (1,2), the ground is expected to be blue, but it is white.
  In (1,3), the ground is expected to be blue, but it is white.
  In (1,4), the ground is expected to be blue, but it is white.
  In (1,5), the ground is expected to be blue, but it is white.
  In (1,6), the ground is expected to be white, but it is blue.
  In (2,5), the ground is expected to be blue, but it is white.
  In (2,6), the ground is expected to be white, but it is blue.
  In (3,5), the ground is expected to be blue, but it is white.
  In (3,6), the ground is expected to be white, but it is blue.
  In (4,3), the ground is expected to be blue, but it is white.
  In (4,5), the ground is expected to be blue, but it is white.
  In (4,6), the ground is expected to be white, but it is blue.
  In (5,6), the ground is expected to be white, but it is blue.
  Something is wrong about buggle 'Rookie':
    Its position is (5,3); expected: (5,1).

