  In (0,1), the ground is expected to be white, but it is blue.
  In (0,4), the ground is expected to be white, but it is blue.
  In (1,2), the ground is expected to be blue, but it is white.
  In (1,3), the ground is expected to be blue, but it is white.
  In (1,5), the ground is expected to be blue, but it is white.
  In (2,0), the ground is expected to be white, but it is blue.
  In (2,4), the ground is expected to be white, but it is blue.
  In (2,6), the ground is expected to be white, but it is blue.
  In (3,1), the ground is expected to be blue, but it is white.
  In (3,5), the ground is expected to be blue, but it is white.
  In (4,1), the ground is expected to be blue, but it is white.
  In (4,3), the ground is expected to be blue, but it is white.
  In (4,5), the ground is expected to be blue, but it is white.
  In (5,3), the ground is expected to be blue, but it is white.
  In (5,6), the ground is expected to be white, but it is blue.
  In (6,1), the ground is expected to be white, but it is blue.
  In (6,4), the ground is expected to be white, but it is blue.
  In (6,6), the ground is expected to be white, but it is blue.

