  In (0,0), the ground is expected to be red, but it is white.
  In (0,1), the ground is expected to be red, but it is white.
  In (0,2), the ground is expected to be red, but it is white.
  In (0,4), the ground is expected to be red, but it is white.
  In (1,0), the ground is expected to be red, but it is white.
  In (1,2), the ground is expected to be red, but it is white.
  In (1,4), the ground is expected to be red, but it is white.
  In (1,6), the ground is expected to be red, but it is white.
  In (2,2), the ground is expected to be red, but it is white.
  In (2,4), the ground is expected to be red, but it is white.
  In (2,5), the ground is expected to be red, but it is white.
  In (2,6), the ground is expected to be red, but it is white.
  In (3,0), the ground is expected to be white, but it is red.
  In (3,1), the ground is expected to be white, but it is red.
  In (3,5), the ground is expected to be white, but it is red.
  In (3,6), the ground is expected to be white, but it is red.
  In (4,0), the ground is expected to be red, but it is white.
  In (4,1), the ground is expected to be red, but it is white.
  In (4,2), the ground is expected to be red, but it is white.
  In (4,4), the ground is expected to be red, but it is white.
  In (5,0), the ground is expected to be red, but it is white.
  In (5,3), the ground is expected to be white, but it is red.
  In (5,4), the ground is expected to be red, but it is white.
  In (5,6), the ground is expected to be red, but it is white.
  In (6,0), the ground is expected to be red, but it is white.
  In (6,1), the ground is expected to be red, but it is white.
  In (6,3), the ground is expected to be white, but it is red.
  In (6,4), the ground is expected to be red, but it is white.

