  In (0,0), the ground is expected to be red, but it is white.
  In (0,1), the ground is expected to be red, but it is white.
  In (0,2), the ground is expected to be red, but it is white.
  In (0,3), the ground is expected to be white, but it is red.
  In (1,0), the ground is expected to be red, but it is white.
  In (1,2), the ground is expected to be red, but it is white.
  In (1,3), the ground is expected to be white, but it is red.
  In (1,5), the ground is expected to be white, but it is red.
  In (2,3), the ground is expected to be white, but it is red.
  In (2,4), the ground is expected to be red, but it is white.
  In (2,5), the ground is expected to be red, but it is white.
  In (3,0), the ground is expected to be white, but it is red.
  In (3,2), the ground is expected to be white, but it is red.
  In (3,3), the ground is expected to be white, but it is red.
  In (3,4), the ground is expected to be white, but it is red.
  In (3,5), the ground is expected to be white, but it is red.
  In (3,6), the ground is expected to be white, but it is red.
  In (4,1), the ground is expected to be red, but it is white.
  In (4,3), the ground is expected to be white, but it is red.
  In (5,1), the ground is expected to be white, but it is red.
  In (5,3), the ground is expected to be white, but it is red.
  In (5,4), the ground is expected to be red, but it is white.
  In (5,5), the ground is expected to be white, but it is red.
  In (6,0), the ground is expected to be red, but it is white.
  In (6,1), the ground is expected to be red, but it is white.
  In (6,3), the ground is expected to be white, but it is red.

