  In (7,12), the ground is expected to be blue, but it is java.awt.Color[r=0,g=155,b=0].
  In (8,11), the ground is expected to be blue, but it is java.awt.Color[r=0,g=155,b=0].
  In (8,12), the ground is expected to be yellow, but it is java.awt.Color[r=0,g=155,b=0].
  In (8,13), the ground is expected to be blue, but it is java.awt.Color[r=0,g=155,b=0].
  In (9,10), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (9,12), the ground is expected to be blue, but it is java.awt.Color[r=0,g=155,b=0].
  In (9,14), the ground is expected to be pink, but it is java.awt.Color[r=0,g=155,b=0].
  In (10,9), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (10,10), the ground is expected to be yellow, but it is java.awt.Color[r=0,g=155,b=0].
  In (10,11), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (10,13), the ground is expected to be pink, but it is java.awt.Color[r=0,g=155,b=0].
  In (10,14), the ground is expected to be yellow, but it is java.awt.Color[r=0,g=155,b=0].
  In (10,15), the ground is expected to be pink, but it is java.awt.Color[r=0,g=155,b=0].
  In (11,10), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (11,12), the ground is expected to be orange, but it is java.awt.Color[r=0,g=155,b=0].
  In (11,14), the ground is expected to be pink, but it is java.awt.Color[r=0,g=155,b=0].
  In (12,11), the ground is expected to be orange, but it is java.awt.Color[r=0,g=155,b=0].
  In (12,12), the ground is expected to be yellow, but it is java.awt.Color[r=0,g=155,b=0].
  In (12,13), the ground is expected to be orange, but it is java.awt.Color[r=0,g=155,b=0].
  In (13,10), the ground is expected to be cyan, but it is java.awt.Color[r=0,g=155,b=0].
  In (13,12), the ground is expected to be orange, but it is java.awt.Color[r=0,g=155,b=0].
  In (13,14), the ground is expected to be green, but it is java.awt.Color[r=0,g=155,b=0].
  In (14,9), the ground is expected to be cyan, but it is java.awt.Color[r=0,g=155,b=0].
  In (14,10), the ground is expected to be yellow, but it is java.awt.Color[r=0,g=155,b=0].
  In (14,11), the ground is expected to be cyan, but it is java.awt.Color[r=0,g=155,b=0].
  In (14,13), the ground is expected to be green, but it is java.awt.Color[r=0,g=155,b=0].
  In (14,14), the ground is expected to be yellow, but it is java.awt.Color[r=0,g=155,b=0].
  In (14,15), the ground is expected to be green, but it is java.awt.Color[r=0,g=155,b=0].
  In (15,10), the ground is expected to be cyan, but it is java.awt.Color[r=0,g=155,b=0].
  In (15,14), the ground is expected to be green, but it is java.awt.Color[r=0,g=155,b=0].
  Something is wrong about buggle 'Jessie':
    Its position is (1,14); expected: (9,14).
    The color of its brush is java.awt.Color[r=0,g=255,b=0]; expected: java.awt.Color[r=255,g=255,b=0].

