  In (1,2), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (1,10), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (2,1), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (2,2), the ground is expected to be yellow, but it is java.awt.Color[r=0,g=155,b=0].
  In (2,3), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (2,9), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (2,10), the ground is expected to be yellow, but it is java.awt.Color[r=0,g=155,b=0].
  In (2,11), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (3,2), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (3,10), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (9,2), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (9,10), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (10,1), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (10,2), the ground is expected to be yellow, but it is java.awt.Color[r=0,g=155,b=0].
  In (10,3), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (10,9), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (10,10), the ground is expected to be yellow, but it is java.awt.Color[r=0,g=155,b=0].
  In (10,11), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (11,2), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].
  In (11,10), the ground is expected to be red, but it is java.awt.Color[r=0,g=155,b=0].

