  In (3,4), the ground is expected to be orange, but it is java.awt.Color[r=0,g=155,b=0].
  In (4,3), the ground is expected to be orange, but it is java.awt.Color[r=0,g=155,b=0].
  In (4,4), the ground is expected to be yellow, but it is java.awt.Color[r=0,g=155,b=0].
  In (4,5), the ground is expected to be orange, but it is java.awt.Color[r=0,g=155,b=0].
  In (5,2), the ground is expected to be cyan, but it is java.awt.Color[r=0,g=155,b=0].
  In (5,4), the ground is expected to be orange, but it is java.awt.Color[r=0,g=155,b=0].
  In (5,6), the ground is expected to be green, but it is java.awt.Color[r=0,g=155,b=0].
  In (6,1), the ground is expected to be cyan, but it is java.awt.Color[r=0,g=155,b=0].
  In (6,2), the ground is expected to be yellow, but it is java.awt.Color[r=0,g=155,b=0].
  In (6,3), the ground is expected to be cyan, but it is java.awt.Color[r=0,g=155,b=0].
  In (6,5), the ground is expected to be green, but it is java.awt.Color[r=0,g=155,b=0].
  In (6,6), the ground is expected to be yellow, but it is java.awt.Color[r=0,g=155,b=0].
  In (6,7), the ground is expected to be green, but it is java.awt.Color[r=0,g=155,b=0].
  In (7,2), the ground is expected to be cyan, but it is java.awt.Color[r=0,g=155,b=0].
  In (7,6), the ground is expected to be green, but it is java.awt.Color[r=0,g=155,b=0].

