  In (0,1), the ground is expected to be green, but it is white.
  In (0,3), the ground is expected to be green, but it is white.
  In (0,5), the ground is expected to be white, but it is blue.
  In (0,6), the ground is expected to be green, but it is blue.
  In (0,7), the ground is expected to be white, but it is red.
  In (0,8), the ground is expected to be green, but it is yellow.
  In (0,9), the ground is expected to be white, but it is yellow.
  In (0,15), the ground is expected to be white, but it is blue.
  In (0,16), the ground is expected to be green, but it is white.
  In (0,17), the ground is expected to be white, but it is green.
  In (0,18), the ground is expected to be green, but it is white.
  In (0,19), the ground is expected to be white, but it is yellow.
  In (0,20), the ground is expected to be white, but it is blue.
  In (0,21), the ground is expected to be green, but it is white.
  In (0,22), the ground is expected to be white, but it is red.
  In (0,23), the ground is expected to be green, but it is white.
  In (0,24), the ground is expected to be white, but it is yellow.
  In (0,26), the ground is expected to be green, but it is red.
  In (0,28), the ground is expected to be green, but it is red.
  In (0,31), the ground is expected to be green, but it is white.
  In (0,33), the ground is expected to be green, but it is white.
  In (0,36), the ground is expected to be green, but it is blue.
  In (0,38), the ground is expected to be green, but it is yellow.
  In (0,41), the ground is expected to be green, but it is red.
  In (0,43), the ground is expected to be green, but it is red.
  In (1,0), the ground is expected to be blue, but it is white.
  In (1,2), the ground is expected to be green, but it is white.
  In (1,4), the ground is expected to be yellow, but it is white.
  In (1,6), the ground is expected to be white, but it is red.
  In (1,7), the ground is expected to be green, but it is red.
  In (1,8), the ground is expected to be white, but it is red.
  In (1,15), the ground is expected to be blue, but it is white.
  In (1,16), the ground is expected to be white, but it is blue.
  In (1,17), the ground is expected to be green, but it is white.
  In (1,18), the ground is expected to be white, but it is yellow.
  In (1,19), the ground is expected to be yellow, but it is white.
  In (1,20), the ground is expected to be blue, but it is white.
  In (1,21), the ground is expected to be white, but it is red.
  In (1,22), the ground is expected to be green, but it is white.
  In (1,23), the ground is expected to be white, but it is red.
  In (1,24), the ground is expected to be yellow, but it is white.
  In (1,25), the ground is expected to be blue, but it is white.
  In (1,26), the ground is expected to be white, but it is green.
  In (1,27), the ground is expected to be green, but it is white.
  In (1,28), the ground is expected to be white, but it is green.
  In (1,29), the ground is expected to be yellow, but it is white.
  In (1,30), the ground is expected to be blue, but it is white.
  In (1,32), the ground is expected to be green, but it is white.
  In (1,34), the ground is expected to be yellow, but it is white.
  In (1,37), the ground is expected to be green, but it is red.
  In (1,41), the ground is expected to be white, but it is green.
  In (1,43), the ground is expected to be white, but it is green.
  In (2,1), the ground is expected to be blue, but it is white.
