  In (0,1), the ground is expected to be green, but it is white.
  In (0,3), the ground is expected to be green, but it is white.
  In (1,0), the ground is expected to be blue, but it is white.
  In (1,2), the ground is expected to be green, but it is white.
  In (1,4), the ground is expected to be yellow, but it is white.
  In (2,1), the ground is expected to be blue, but it is white.
  In (2,3), the ground is expected to be yellow, but it is white.
  In (3,0), the ground is expected to be blue, but it is white.
  In (3,2), the ground is expected to be red, but it is white.
  In (3,4), the ground is expected to be yellow, but it is white.
  In (4,1), the ground is expected to be red, but it is white.
  In (4,3), the ground is expected to be red, but it is white.
  In (5,1), the ground is expected to be green, but it is white.
  In (5,3), the ground is expected to be green, but it is white.
  In (6,0), the ground is expected to be blue, but it is white.
  In (6,2), the ground is expected to be green, but it is white.
  In (6,4), the ground is expected to be yellow, but it is white.
  In (7,1), the ground is expected to be blue, but it is white.
  In (7,3), the ground is expected to be yellow, but it is white.
  In (8,0), the ground is expected to be blue, but it is white.
  In (8,2), the ground is expected to be red, but it is white.
  In (8,4), the ground is expected to be yellow, but it is white.
  In (9,1), the ground is expected to be red, but it is white.
  In (9,3), the ground is expected to be red, but it is white.
  In (10,1), the ground is expected to be green, but it is white.
  In (10,3), the ground is expected to be green, but it is white.
  In (11,0), the ground is expected to be blue, but it is white.
  In (11,2), the ground is expected to be green, but it is white.
  In (11,4), the ground is expected to be yellow, but it is white.
  In (12,1), the ground is expected to be blue, but it is white.
  In (12,3), the ground is expected to be yellow, but it is white.
  In (13,0), the ground is expected to be blue, but it is white.
  In (13,2), the ground is expected to be red, but it is white.
  In (13,4), the ground is expected to be yellow, but it is white.
  In (14,1), the ground is expected to be red, but it is white.
  In (14,3), the ground is expected to be red, but it is white.
  In (15,1), the ground is expected to be green, but it is white.
  In (15,3), the ground is expected to be green, but it is white.
  In (16,0), the ground is expected to be blue, but it is white.
  In (16,2), the ground is expected to be green, but it is white.
  In (16,4), the ground is expected to be yellow, but it is white.
  In (17,1), the ground is expected to be blue, but it is white.
  In (17,3), the ground is expected to be yellow, but it is white.
  In (18,0), the ground is expected to be blue, but it is white.
  In (18,2), the ground is expected to be red, but it is white.
  In (18,4), the ground is expected to be yellow, but it is white.
  In (19,1), the ground is expected to be red, but it is white.
  In (19,3), the ground is expected to be red, but it is white.
  In (20,1), the ground is expected to be green, but it is white.
  In (20,3), the ground is expected to be green, but it is white.
  In (21,0), the ground is expected to be blue, but it is white.
  In (21,2), the ground is expected to be green, but it is white.
  In (21,4), the ground is expected to be yellow, but it is white.
  In (22,1), the ground is expected to be blue, but it is white.
  In (22,3), the ground is expected to be yellow, but it is white.
  In (23,0), the ground is expected to be blue, but it is white.
  In (23,2), the ground is expected to be red, but it is white.
  In (23,4), the ground is expected to be yellow, but it is white.
  In (24,1), the ground is expected to be red, but it is white.
  In (24,3), the ground is expected to be red, but it is white.
  In (25,1), the ground is expected to be green, but it is white.
  In (25,3), the ground is expected to be green, but it is white.
  In (26,0), the ground is expected to be blue, but it is white.
  In (26,2), the ground is expected to be green, but it is white.
  In (26,4), the ground is expected to be yellow, but it is white.
  In (27,1), the ground is expected to be blue, but it is white.
  In (27,3), the ground is expected to be yellow, but it is white.
  In (28,0), the ground is expected to be blue, but it is white.
  In (28,2), the ground is expected to be red, but it is white.
  In (28,4), the ground is expected to be yellow, but it is white.
  In (29,1), the ground is expected to be red, but it is white.
  In (29,3), the ground is expected to be red, but it is white.
  In (30,1), the ground is expected to be green, but it is white.
  In (30,3), the ground is expected to be green, but it is white.
  In (31,0), the ground is expected to be blue, but it is white.
  In (31,2), the ground is expected to be green, but it is white.
  In (31,4), the ground is expected to be yellow, but it is white.
  In (32,1), the ground is expected to be blue, but it is white.
  In (32,3), the ground is expected to be yellow, but it is white.
  In (33,0), the ground is expected to be blue, but it is white.
  In (33,2), the ground is expected to be red, but it is white.
  In (33,4), the ground is expected to be yellow, but it is white.
  In (34,1), the ground is expected to be red, but it is white.
  In (34,3), the ground is expected to be red, but it is white.
  In (35,1), the ground is expected to be green, but it is white.
  In (35,3), the ground is expected to be green, but it is white.
  In (36,0), the ground is expected to be blue, but it is white.
  In (36,2), the ground is expected to be green, but it is white.
  In (36,4), the ground is expected to be yellow, but it is white.
  In (37,1), the ground is expected to be blue, but it is white.
  In (37,3), the ground is expected to be yellow, but it is white.
  In (38,0), the ground is expected to be blue, but it is white.
  In (38,2), the ground is expected to be red, but it is white.
  In (38,4), the ground is expected to be yellow, but it is white.
  In (39,1), the ground is expected to be red, but it is white.
  In (39,3), the ground is expected to be red, but it is white.
  In (40,1), the ground is expected to be green, but it is white.
  In (40,3), the ground is expected to be green, but it is white.
  In (41,0), the ground is expected to be blue, but it is white.
  In (41,2), the ground is expected to be green, but it is white.
  In (41,4), the ground is expected to be yellow, but it is white.
  In (42,1), the ground is expected to be blue, but it is white.
  In (42,3), the ground is expected to be yellow, but it is white.
  In (43,0), the ground is expected to be blue, but it is white.
  In (43,2), the ground is expected to be red, but it is white.
  In (43,4), the ground is expected to be yellow, but it is white.
  In (44,1), the ground is expected to be red, but it is white.
  In (44,3), the ground is expected to be red, but it is white.
  Something is wrong about buggle 'Picasso':
    Its position is (0,4); expected: (0,44).

