  In (0,0), the ground is expected to be white, but it is yellow.
  In (0,1), the ground is expected to be yellow, but it is white.
  In (0,4), the ground is expected to be white, but it is yellow.
  In (0,5), the ground is expected to be yellow, but it is white.
  In (1,0), the ground is expected to be yellow, but it is white.
  In (1,1), the ground is expected to be white, but it is yellow.
  In (1,4), the ground is expected to be yellow, but it is white.
  In (1,5), the ground is expected to be white, but it is yellow.
  In (2,2), the ground is expected to be white, but it is blue.
  In (2,3), the ground is expected to be blue, but it is white.
  In (2,6), the ground is expected to be white, but it is blue.
  In (2,7), the ground is expected to be blue, but it is white.
  In (3,2), the ground is expected to be blue, but it is white.
  In (3,3), the ground is expected to be white, but it is blue.
  In (3,6), the ground is expected to be blue, but it is white.
  In (3,7), the ground is expected to be white, but it is blue.
  In (4,0), the ground is expected to be white, but it is yellow.
  In (4,1), the ground is expected to be yellow, but it is white.
  In (4,4), the ground is expected to be white, but it is yellow.
  In (4,5), the ground is expected to be yellow, but it is white.
  In (5,0), the ground is expected to be yellow, but it is white.
  In (5,1), the ground is expected to be white, but it is yellow.
  In (5,4), the ground is expected to be yellow, but it is white.
  In (5,5), the ground is expected to be white, but it is yellow.
  In (6,2), the ground is expected to be white, but it is blue.
  In (6,3), the ground is expected to be blue, but it is white.
  In (6,6), the ground is expected to be white, but it is blue.
  In (6,7), the ground is expected to be blue, but it is white.
  In (7,2), the ground is expected to be blue, but it is white.
  In (7,3), the ground is expected to be white, but it is blue.
  In (7,6), the ground is expected to be blue, but it is white.
  In (7,7), the ground is expected to be white, but it is blue.

