  In (0,0), the ground is expected to be white, but it is yellow.
  In (0,1), the ground is expected to be yellow, but it is white.
  In (0,4), the ground is expected to be white, but it is yellow.
  In (0,5), the ground is expected to be yellow, but it is white.
  In (1,0), the ground is expected to be yellow, but it is white.
  In (1,1), the ground is expected to be white, but it is yellow.
  In (1,4), the ground is expected to be yellow, but it is white.
  In (1,5), the ground is expected to be white, but it is yellow.
  In (2,0), the ground is expected to be green, but it is white.
  In (2,1), the ground is expected to be white, but it is green.
  In (2,4), the ground is expected to be green, but it is white.
  In (2,5), the ground is expected to be white, but it is green.
  In (3,0), the ground is expected to be white, but it is green.
  In (3,1), the ground is expected to be green, but it is white.
  In (3,4), the ground is expected to be white, but it is green.
  In (3,5), the ground is expected to be green, but it is white.
  In (4,0), the ground is expected to be white, but it is yellow.
  In (4,1), the ground is expected to be yellow, but it is white.
  In (4,4), the ground is expected to be white, but it is yellow.
  In (4,5), the ground is expected to be yellow, but it is white.
  In (5,0), the ground is expected to be yellow, but it is white.
  In (5,1), the ground is expected to be white, but it is yellow.
  In (5,4), the ground is expected to be yellow, but it is white.
  In (5,5), the ground is expected to be white, but it is yellow.
  In (6,0), the ground is expected to be green, but it is white.
  In (6,1), the ground is expected to be white, but it is green.
  In (6,4), the ground is expected to be green, but it is white.
  In (6,5), the ground is expected to be white, but it is green.
  In (7,0), the ground is expected to be white, but it is green.
  In (7,1), the ground is expected to be green, but it is white.
  In (7,4), the ground is expected to be white, but it is green.
  In (7,5), the ground is expected to be green, but it is white.

