  In (1,6), the ground is expected to be white, but it is light grey.
  In (2,0), the ground is expected to be light grey, but it is white.
  In (2,1), the ground is expected to be white, but it is light grey.
  In (2,5), the ground is expected to be white, but it is light grey.
  In (2,6), the ground is expected to be light grey, but it is white.
  In (3,1), the ground is expected to be light grey, but it is white.
  In (3,2), the ground is expected to be white, but it is light grey.
  In (3,5), the ground is expected to be light grey, but it is white.
  In (3,6), the ground is expected to be white, but it is light grey.
  In (4,0), the ground is expected to be light grey, but it is white.
  In (4,1), the ground is expected to be white, but it is light grey.
  In (4,4), the ground is expected to be white, but it is light grey.
  In (4,6), the ground is expected to be light grey, but it is white.
  In (5,5), the ground is expected to be white, but it is light grey.
  In (6,2), the ground is expected to be light grey, but it is white.
  In (6,4), the ground is expected to be light grey, but it is white.

