  In (0,2), the ground is expected to be light grey, but it is white.
  In (0,4), the ground is expected to be light grey, but it is white.
  In (0,8), the ground is expected to be white, but it is light grey.
  In (0,9), the ground is expected to be light grey, but it is white.
  In (0,10), the ground is expected to be white, but it is light grey.
  In (0,11), the ground is expected to be light grey, but it is white.
  In (0,12), the ground is expected to be white, but it is light grey.
  In (0,14), the ground is expected to be white, but it is light grey.
  In (1,3), the ground is expected to be light grey, but it is white.
  In (1,10), the ground is expected to be light grey, but it is white.
  In (1,17), the ground is expected to be light grey, but it is white.
  In (2,0), the ground is expected to be light grey, but it is white.
  In (2,6), the ground is expected to be light grey, but it is white.
  In (2,7), the ground is expected to be light grey, but it is white.
  In (2,13), the ground is expected to be light grey, but it is white.
  In (2,14), the ground is expected to be light grey, but it is white.
  In (2,20), the ground is expected to be light grey, but it is white.
  In (3,1), the ground is expected to be light grey, but it is white.
  In (3,5), the ground is expected to be light grey, but it is white.
  In (3,8), the ground is expected to be light grey, but it is white.
  In (3,12), the ground is expected to be light grey, but it is white.
  In (3,15), the ground is expected to be light grey, but it is white.
  In (3,19), the ground is expected to be light grey, but it is white.
  In (4,0), the ground is expected to be light grey, but it is white.
  In (4,6), the ground is expected to be light grey, but it is white.
  In (4,7), the ground is expected to be light grey, but it is white.
  In (4,13), the ground is expected to be light grey, but it is white.
  In (4,14), the ground is expected to be light grey, but it is white.
  In (4,20), the ground is expected to be light grey, but it is white.
  In (5,3), the ground is expected to be light grey, but it is white.
  In (5,10), the ground is expected to be light grey, but it is white.
  In (5,17), the ground is expected to be light grey, but it is white.
  In (6,2), the ground is expected to be light grey, but it is white.
  In (6,4), the ground is expected to be light grey, but it is white.
  In (6,9), the ground is expected to be light grey, but it is white.
  In (6,11), the ground is expected to be light grey, but it is white.
  In (6,16), the ground is expected to be light grey, but it is white.
  In (6,18), the ground is expected to be light grey, but it is white.
  In (7,2), the ground is expected to be light grey, but it is white.
  In (7,4), the ground is expected to be light grey, but it is white.
  In (7,9), the ground is expected to be light grey, but it is white.
  In (7,11), the ground is expected to be light grey, but it is white.
  In (7,16), the ground is expected to be light grey, but it is white.
  In (7,18), the ground is expected to be light grey, but it is white.
  In (8,3), the ground is expected to be light grey, but it is white.
  In (8,8), the ground is expected to be white, but it is light grey.
  In (8,9), the ground is expected to be white, but it is light grey.
  In (8,11), the ground is expected to be white, but it is light grey.
  In (8,13), the ground is expected to be white, but it is light grey.
  In (8,15), the ground is expected to be white, but it is light grey.
  In (8,19), the ground is expected to be white, but it is light grey.
  In (9,0), the ground is expected to be light grey, but it is white.
  In (9,6), the ground is expected to be light grey, but it is white.
  In (9,8), the ground is expected to be white, but it is light grey.
  In (9,9), the ground is expected to be white, but it is light grey.
  In (9,10), the ground is expected to be white, but it is light grey.
