  In (0,2), the ground is expected to be light grey, but it is white.
  In (0,4), the ground is expected to be light grey, but it is white.
  In (0,9), the ground is expected to be light grey, but it is white.
  In (0,11), the ground is expected to be light grey, but it is white.
  In (1,3), the ground is expected to be light grey, but it is white.
  In (1,10), the ground is expected to be light grey, but it is white.
  In (2,0), the ground is expected to be light grey, but it is white.
  In (2,6), the ground is expected to be light grey, but it is white.
  In (2,7), the ground is expected to be light grey, but it is white.
  In (2,13), the ground is expected to be light grey, but it is white.
  In (3,1), the ground is expected to be light grey, but it is white.
  In (3,5), the ground is expected to be light grey, but it is white.
  In (3,8), the ground is expected to be light grey, but it is white.
  In (3,12), the ground is expected to be light grey, but it is white.
  In (4,0), the ground is expected to be light grey, but it is white.
  In (4,6), the ground is expected to be light grey, but it is white.
  In (4,7), the ground is expected to be light grey, but it is white.
  In (4,13), the ground is expected to be light grey, but it is white.
  In (5,3), the ground is expected to be light grey, but it is white.
  In (5,10), the ground is expected to be light grey, but it is white.
  In (6,2), the ground is expected to be light grey, but it is white.
  In (6,4), the ground is expected to be light grey, but it is white.
  In (6,9), the ground is expected to be light grey, but it is white.
  In (6,11), the ground is expected to be light grey, but it is white.
  In (7,2), the ground is expected to be light grey, but it is white.
  In (7,4), the ground is expected to be light grey, but it is white.
  In (7,9), the ground is expected to be light grey, but it is white.
  In (7,11), the ground is expected to be light grey, but it is white.
  In (8,3), the ground is expected to be light grey, but it is white.
  In (8,10), the ground is expected to be light grey, but it is white.
  In (9,0), the ground is expected to be light grey, but it is white.
  In (9,6), the ground is expected to be light grey, but it is white.
  In (9,7), the ground is expected to be light grey, but it is white.
  In (9,13), the ground is expected to be light grey, but it is white.
  In (10,1), the ground is expected to be light grey, but it is white.
  In (10,5), the ground is expected to be light grey, but it is white.
  In (10,8), the ground is expected to be light grey, but it is white.
  In (10,12), the ground is expected to be light grey, but it is white.
  In (11,0), the ground is expected to be light grey, but it is white.
  In (11,6), the ground is expected to be light grey, but it is white.
  In (11,7), the ground is expected to be light grey, but it is white.
  In (11,13), the ground is expected to be light grey, but it is white.
  In (12,3), the ground is expected to be light grey, but it is white.
  In (12,10), the ground is expected to be light grey, but it is white.
  In (13,2), the ground is expected to be light grey, but it is white.
  In (13,4), the ground is expected to be light grey, but it is white.
  In (13,9), the ground is expected to be light grey, but it is white.
  In (13,11), the ground is expected to be light grey, but it is white.
  In (14,2), the ground is expected to be light grey, but it is white.
  In (14,4), the ground is expected to be light grey, but it is white.
  In (14,9), the ground is expected to be light grey, but it is white.
  In (14,11), the ground is expected to be light grey, but it is white.
  In (15,3), the ground is expected to be light grey, but it is white.
  In (15,10), the ground is expected to be light grey, but it is white.
  In (16,0), the ground is expected to be light grey, but it is white.
  In (16,6), the ground is expected to be light grey, but it is white.
  In (16,7), the ground is expected to be light grey, but it is white.
  In (16,13), the ground is expected to be light grey, but it is white.
  In (17,1), the ground is expected to be light grey, but it is white.
  In (17,5), the ground is expected to be light grey, but it is white.
  In (17,8), the ground is expected to be light grey, but it is white.
  In (17,12), the ground is expected to be light grey, but it is white.
  In (18,0), the ground is expected to be light grey, but it is white.
  In (18,6), the ground is expected to be light grey, but it is white.
  In (18,7), the ground is expected to be light grey, but it is white.
  In (18,13), the ground is expected to be light grey, but it is white.
  In (19,3), the ground is expected to be light grey, but it is white.
  In (19,10), the ground is expected to be light grey, but it is white.
  In (20,2), the ground is expected to be light grey, but it is white.
  In (20,4), the ground is expected to be light grey, but it is white.
