  In (0,1), the ground is expected to be white, but it is light grey.
  In (0,2), the ground is expected to be light grey, but it is white.
  In (0,3), the ground is expected to be white, but it is light grey.
  In (0,4), the ground is expected to be light grey, but it is white.
  In (0,9), the ground is expected to be light grey, but it is white.
  In (0,11), the ground is expected to be light grey, but it is white.
  In (0,16), the ground is expected to be light grey, but it is white.
  In (0,18), the ground is expected to be light grey, but it is white.
  In (0,23), the ground is expected to be light grey, but it is white.
  In (0,25), the ground is expected to be light grey, but it is white.
  In (0,30), the ground is expected to be light grey, but it is white.
  In (0,32), the ground is expected to be light grey, but it is white.
  In (0,37), the ground is expected to be light grey, but it is white.
  In (0,41), the ground is expected to be white, but it is light grey.
  In (0,49), the ground is expected to be white, but it is light grey.
  In (0,53), the ground is expected to be light grey, but it is white.
  In (0,54), the ground is expected to be white, but it is light grey.
  In (0,56), the ground is expected to be white, but it is light grey.
  In (0,58), the ground is expected to be light grey, but it is white.
  In (0,59), the ground is expected to be white, but it is light grey.
  In (0,60), the ground is expected to be light grey, but it is white.
  In (0,61), the ground is expected to be white, but it is light grey.
  In (1,0), the ground is expected to be white, but it is light grey.
  In (1,2), the ground is expected to be white, but it is light grey.
  In (1,3), the ground is expected to be light grey, but it is white.
  In (1,4), the ground is expected to be white, but it is light grey.
  In (1,10), the ground is expected to be light grey, but it is white.
  In (1,17), the ground is expected to be light grey, but it is white.
  In (1,24), the ground is expected to be light grey, but it is white.
  In (1,31), the ground is expected to be light grey, but it is white.
  In (1,40), the ground is expected to be white, but it is light grey.
  In (1,42), the ground is expected to be white, but it is light grey.
  In (1,43), the ground is expected to be white, but it is light grey.
  In (1,47), the ground is expected to be white, but it is light grey.
  In (1,48), the ground is expected to be white, but it is light grey.
  In (1,50), the ground is expected to be white, but it is light grey.
  In (1,53), the ground is expected to be white, but it is light grey.
  In (1,55), the ground is expected to be white, but it is light grey.
  In (1,57), the ground is expected to be white, but it is light grey.
  In (1,58), the ground is expected to be white, but it is light grey.
  In (1,59), the ground is expected to be light grey, but it is white.
  In (1,60), the ground is expected to be white, but it is light grey.
  In (1,62), the ground is expected to be white, but it is light grey.
  In (2,0), the ground is expected to be light grey, but it is white.
  In (2,1), the ground is expected to be white, but it is light grey.
  In (2,3), the ground is expected to be white, but it is light grey.
  In (2,6), the ground is expected to be light grey, but it is white.
  In (2,7), the ground is expected to be light grey, but it is white.
  In (2,13), the ground is expected to be light grey, but it is white.
  In (2,14), the ground is expected to be light grey, but it is white.
  In (2,20), the ground is expected to be light grey, but it is white.
  In (2,21), the ground is expected to be light grey, but it is white.
  In (2,27), the ground is expected to be light grey, but it is white.
  In (2,28), the ground is expected to be light grey, but it is white.
  In (2,34), the ground is expected to be light grey, but it is white.
  In (2,35), the ground is expected to be light grey, but it is white.
  In (2,39), the ground is expected to be white, but it is light grey.
  In (2,42), the ground is expected to be light grey, but it is white.
  In (2,44), the ground is expected to be white, but it is light grey.
  In (2,46), the ground is expected to be white, but it is light grey.
  In (2,48), the ground is expected to be light grey, but it is white.
  In (2,51), the ground is expected to be white, but it is light grey.
  In (2,54), the ground is expected to be white, but it is light grey.
  In (2,55), the ground is expected to be light grey, but it is white.
  In (2,59), the ground is expected to be white, but it is light grey.
  In (2,61), the ground is expected to be white, but it is light grey.
  In (2,62), the ground is expected to be light grey, but it is white.
  In (3,0), the ground is expected to be white, but it is light grey.
  In (3,1), the ground is expected to be light grey, but it is white.
  In (3,2), the ground is expected to be white, but it is light grey.
  In (3,4), the ground is expected to be white, but it is light grey.
  In (3,5), the ground is expected to be light grey, but it is white.
  In (3,8), the ground is expected to be light grey, but it is white.
  In (3,12), the ground is expected to be light grey, but it is white.
  In (3,15), the ground is expected to be light grey, but it is white.
  In (3,19), the ground is expected to be light grey, but it is white.
  In (3,22), the ground is expected to be light grey, but it is white.
  In (3,26), the ground is expected to be light grey, but it is white.
  In (3,29), the ground is expected to be light grey, but it is white.
  In (3,33), the ground is expected to be light grey, but it is white.
  In (3,36), the ground is expected to be light grey, but it is white.
  In (3,38), the ground is expected to be white, but it is light grey.
  In (3,42), the ground is expected to be white, but it is light grey.
  In (3,45), the ground is expected to be white, but it is light grey.
  In (3,48), the ground is expected to be white, but it is light grey.
  In (3,52), the ground is expected to be white, but it is light grey.
  In (3,53), the ground is expected to be white, but it is light grey.
  In (3,54), the ground is expected to be light grey, but it is white.
  In (3,55), the ground is expected to be white, but it is light grey.
  In (3,58), the ground is expected to be white, but it is light grey.
  In (3,60), the ground is expected to be white, but it is light grey.
  In (3,61), the ground is expected to be light grey, but it is white.
  In (3,62), the ground is expected to be white, but it is light grey.
  In (4,0), the ground is expected to be light grey, but it is white.
  In (4,1), the ground is expected to be white, but it is light grey.
  In (4,3), the ground is expected to be white, but it is light grey.
  In (4,6), the ground is expected to be light grey, but it is white.
  In (4,7), the ground is expected to be light grey, but it is white.
  In (4,13), the ground is expected to be light grey, but it is white.
  In (4,14), the ground is expected to be light grey, but it is white.
  In (4,20), the ground is expected to be light grey, but it is white.
  In (4,21), the ground is expected to be light grey, but it is white.
  In (4,27), the ground is expected to be light grey, but it is white.
  In (4,28), the ground is expected to be light grey, but it is white.
  In (4,34), the ground is expected to be light grey, but it is white.
  In (4,35), the ground is expected to be light grey, but it is white.
  In (4,39), the ground is expected to be white, but it is light grey.
  In (4,42), the ground is expected to be light grey, but it is white.
  In (4,44), the ground is expected to be white, but it is light grey.
