  In (0,2), the ground is expected to be light grey, but it is white.
  In (0,4), the ground is expected to be light grey, but it is white.
  In (0,6), the ground is expected to be white, but it is light grey.
  In (0,8), the ground is expected to be white, but it is light grey.
  In (0,9), the ground is expected to be light grey, but it is white.
  In (0,11), the ground is expected to be light grey, but it is white.
  In (0,16), the ground is expected to be light grey, but it is white.
  In (0,18), the ground is expected to be light grey, but it is white.
  In (0,23), the ground is expected to be light grey, but it is white.
  In (0,25), the ground is expected to be light grey, but it is white.
  In (0,30), the ground is expected to be light grey, but it is white.
  In (0,32), the ground is expected to be light grey, but it is white.
  In (0,37), the ground is expected to be light grey, but it is white.
  In (0,41), the ground is expected to be white, but it is light grey.
  In (0,44), the ground is expected to be light grey, but it is white.
  In (0,46), the ground is expected to be light grey, but it is white.
  In (0,48), the ground is expected to be white, but it is light grey.
  In (0,49), the ground is expected to be white, but it is light grey.
  In (0,50), the ground is expected to be white, but it is light grey.
  In (0,52), the ground is expected to be white, but it is light grey.
  In (0,53), the ground is expected to be light grey, but it is white.
  In (0,62), the ground is expected to be white, but it is light grey.
  In (1,3), the ground is expected to be light grey, but it is white.
  In (1,5), the ground is expected to be white, but it is light grey.
  In (1,7), the ground is expected to be white, but it is light grey.
  In (1,9), the ground is expected to be white, but it is light grey.
  In (1,10), the ground is expected to be light grey, but it is white.
  In (1,17), the ground is expected to be light grey, but it is white.
  In (1,24), the ground is expected to be light grey, but it is white.
  In (1,31), the ground is expected to be light grey, but it is white.
  In (1,40), the ground is expected to be white, but it is light grey.
  In (1,42), the ground is expected to be white, but it is light grey.
  In (1,45), the ground is expected to be light grey, but it is white.
  In (1,49), the ground is expected to be white, but it is light grey.
  In (1,51), the ground is expected to be white, but it is light grey.
  In (1,52), the ground is expected to be light grey, but it is white.
  In (1,61), the ground is expected to be white, but it is light grey.
  In (2,0), the ground is expected to be light grey, but it is white.
  In (2,7), the ground is expected to be light grey, but it is white.
  In (2,8), the ground is expected to be white, but it is light grey.
  In (2,13), the ground is expected to be light grey, but it is white.
  In (2,14), the ground is expected to be light grey, but it is white.
  In (2,20), the ground is expected to be light grey, but it is white.
