  In (0,2), the ground is expected to be light grey, but it is white.
  In (0,4), the ground is expected to be light grey, but it is white.
  In (0,9), the ground is expected to be light grey, but it is white.
  In (0,11), the ground is expected to be light grey, but it is white.
  In (0,16), the ground is expected to be light grey, but it is white.
  In (0,18), the ground is expected to be light grey, but it is white.
  In (0,23), the ground is expected to be light grey, but it is white.
  In (0,25), the ground is expected to be light grey, but it is white.
  In (0,27), the ground is expected to be white, but it is light grey.
  In (0,29), the ground is expected to be white, but it is light grey.
  In (0,30), the ground is expected to be light grey, but it is white.
  In (0,32), the ground is expected to be light grey, but it is white.
  In (0,37), the ground is expected to be light grey, but it is white.
  In (0,39), the ground is expected to be light grey, but it is white.
  In (0,40), the ground is expected to be white, but it is light grey.
  In (0,42), the ground is expected to be white, but it is light grey.
  In (0,44), the ground is expected to be light grey, but it is white.
  In (0,46), the ground is expected to be light grey, but it is white.
  In (0,51), the ground is expected to be light grey, but it is white.
  In (0,53), the ground is expected to be light grey, but it is white.
  In (0,58), the ground is expected to be light grey, but it is white.
  In (0,59), the ground is expected to be white, but it is light grey.
  In (0,60), the ground is expected to be light grey, but it is white.
  In (0,61), the ground is expected to be white, but it is light grey.
  In (1,3), the ground is expected to be light grey, but it is white.
  In (1,10), the ground is expected to be light grey, but it is white.
  In (1,17), the ground is expected to be light grey, but it is white.
  In (1,24), the ground is expected to be light grey, but it is white.
  In (1,26), the ground is expected to be white, but it is light grey.
  In (1,28), the ground is expected to be white, but it is light grey.
  In (1,30), the ground is expected to be white, but it is light grey.
  In (1,31), the ground is expected to be light grey, but it is white.
  In (1,38), the ground is expected to be light grey, but it is white.
  In (1,39), the ground is expected to be white, but it is light grey.
  In (1,41), the ground is expected to be white, but it is light grey.
  In (1,43), the ground is expected to be white, but it is light grey.
  In (1,45), the ground is expected to be light grey, but it is white.
  In (1,52), the ground is expected to be light grey, but it is white.
  In (1,58), the ground is expected to be white, but it is light grey.
  In (1,59), the ground is expected to be light grey, but it is white.
  In (1,60), the ground is expected to be white, but it is light grey.
  In (1,62), the ground is expected to be white, but it is light grey.
  In (2,0), the ground is expected to be light grey, but it is white.
  In (2,6), the ground is expected to be light grey, but it is white.
  In (2,7), the ground is expected to be light grey, but it is white.
  In (2,13), the ground is expected to be light grey, but it is white.
  In (2,14), the ground is expected to be light grey, but it is white.
  In (2,20), the ground is expected to be light grey, but it is white.
  In (2,21), the ground is expected to be light grey, but it is white.
  In (2,28), the ground is expected to be light grey, but it is white.
  In (2,29), the ground is expected to be white, but it is light grey.
  In (2,34), the ground is expected to be light grey, but it is white.
  In (2,35), the ground is expected to be light grey, but it is white.
  In (2,40), the ground is expected to be white, but it is light grey.
  In (2,41), the ground is expected to be light grey, but it is white.
  In (2,48), the ground is expected to be light grey, but it is white.
  In (2,49), the ground is expected to be light grey, but it is white.
  In (2,55), the ground is expected to be light grey, but it is white.
  In (2,56), the ground is expected to be light grey, but it is white.
  In (2,59), the ground is expected to be white, but it is light grey.
  In (2,61), the ground is expected to be white, but it is light grey.
  In (2,62), the ground is expected to be light grey, but it is white.
  In (3,1), the ground is expected to be light grey, but it is white.
  In (3,5), the ground is expected to be light grey, but it is white.
  In (3,8), the ground is expected to be light grey, but it is white.
  In (3,12), the ground is expected to be light grey, but it is white.
  In (3,15), the ground is expected to be light grey, but it is white.
  In (3,19), the ground is expected to be light grey, but it is white.
  In (3,22), the ground is expected to be light grey, but it is white.
  In (3,28), the ground is expected to be white, but it is light grey.
