  In (0,0), the ground is expected to be white, but it is light grey.
  In (1,1), the ground is expected to be light grey, but it is green.
  In (2,4), the ground is expected to be light grey, but it is green.
  In (3,3), the ground is expected to be white, but it is light grey.
  In (3,4), the ground is expected to be light grey, but it is green.
  In (4,4), the ground is expected to be light grey, but it is green.
  In (5,5), the ground is expected to be white, but it is light grey.
  In (6,3), the ground is expected to be light grey, but it is green.
  In (6,4), the ground is expected to be light grey, but it is green.
  Something is wrong about buggle 'Hunter':

  In (2,0), the ground is expected to be light grey, but it is green.
  In (3,0), the ground is expected to be light grey, but it is green.
  In (3,3), the ground is expected to be white, but it is light grey.
  In (4,0), the ground is expected to be light grey, but it is green.
  In (5,2), the ground is expected to be light grey, but it is green.
  In (5,5), the ground is expected to be white, but it is light grey.
  In (6,2), the ground is expected to be light grey, but it is green.
  In (6,3), the ground is expected to be light grey, but it is green.
  In (6,4), the ground is expected to be light grey, but it is green.

