  In (0,1), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (1,1), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (1,4), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (2,1), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (2,4), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (2,7), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (3,1), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (3,4), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (3,7), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (4,1), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (4,4), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (4,7), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (5,1), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (5,4), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (5,7), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (6,1), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (6,4), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (6,7), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (7,1), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (7,4), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (7,7), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (8,1), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (8,4), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (8,7), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (9,1), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (9,4), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (9,7), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (10,1), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (10,4), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (10,7), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (11,1), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (11,4), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (11,7), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (12,1), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (12,4), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (12,7), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (13,1), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (13,4), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (13,7), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (14,1), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (14,4), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (14,7), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (15,1), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (15,4), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (15,7), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (16,1), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (16,4), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (16,7), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (17,1), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (17,4), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (17,7), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (18,1), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  In (18,4), the ground is expected to be java.awt.Color[r=211,g=188,b=95], but it is black.
  In (18,7), the ground is expected to be java.awt.Color[r=222,g=205,b=135], but it is black.
  Something is wrong about buggle 'Balin':
    Its position is (18,1); expected: (19,2).
  Something is wrong about buggle 'Dwalin':
    Its position is (18,4); expected: (19,5).
  Something is wrong about buggle 'Gimli':
    Its position is (18,7); expected: (19,8).

